member_id,month,events_count,logins,site_visits,deposit_page_views,abandon_apps,avg_session_sec
M003245,2025-07-01,1,1,0,0,0,781.0
M007858,2024-10-01,1,0,0,1,0,355.0
M008077,2024-07-01,2,0,2,0,0,355.0
M007457,2024-04-01,1,0,1,0,0,612.0
M006509,2024-08-01,1,0,1,0,0,119.0
M006096,2024-09-01,1,0,1,0,0,276.0
M003014,2025-05-01,1,0,1,0,0,869.0
M007832,2025-05-01,1,0,1,0,0,304.0
M004164,2024-09-01,2,1,1,0,0,571.5
M002095,2024-06-01,1,0,1,0,0,193.0
M008573,2024-04-01,1,0,1,0,0,346.0
M007341,2024-07-01,2,2,0,0,0,546.5
M001900,2025-08-01,1,1,0,0,0,44.0
M006978,2024-08-01,1,0,1,0,0,493.0
M005467,2025-08-01,1,1,0,0,0,219.0
M003047,2024-01-01,2,1,0,0,1,613.0
M001001,2024-01-01,2,1,1,0,0,591.0
M004264,2025-04-01,1,0,1,0,0,122.0
M005218,2025-09-01,1,0,0,1,0,408.0
M005130,2024-12-01,1,0,1,0,0,576.0
M006626,2025-03-01,1,1,0,0,0,113.0
M000679,2025-07-01,1,0,0,1,0,558.0
M008371,2024-02-01,1,0,1,0,0,457.0
M005659,2024-09-01,2,2,0,0,0,478.5
M006967,2024-04-01,2,0,0,1,1,730.0
M007761,2024-01-01,1,0,0,1,0,368.0
M002149,2024-12-01,1,1,0,0,0,60.0
M003925,2024-06-01,1,1,0,0,0,372.0
M004388,2025-01-01,1,1,0,0,0,353.0
M008712,2024-01-01,1,0,1,0,0,142.0
M002697,2024-05-01,1,0,1,0,0,582.0
M002315,2024-01-01,1,0,0,0,1,830.0
M002893,2025-09-01,1,1,0,0,0,872.0
M006602,2025-05-01,1,0,1,0,0,663.0
M001761,2024-02-01,1,0,0,0,1,527.0
M008718,2024-12-01,1,0,1,0,0,798.0
M000576,2024-06-01,2,2,0,0,0,749.5
M005801,2024-01-01,1,0,0,1,0,139.0
M005128,2024-04-01,2,0,2,0,0,135.5
M000692,2024-02-01,1,0,0,0,1,588.0
M005165,2025-01-01,1,0,0,1,0,413.0
M002508,2024-03-01,1,0,0,1,0,414.0
M002414,2024-12-01,1,1,0,0,0,875.0
M005889,2025-07-01,3,0,3,0,0,150.66666666666666
M008558,2024-05-01,2,1,1,0,0,630.5
M000126,2024-10-01,1,0,1,0,0,149.0
M007492,2025-06-01,1,0,0,1,0,91.0
M009785,2025-08-01,2,1,1,0,0,687.5
M003773,2025-02-01,1,0,1,0,0,821.0
M001139,2025-01-01,1,0,0,1,0,239.0
M007880,2024-01-01,1,0,1,0,0,789.0
M002960,2024-07-01,1,1,0,0,0,472.0
M001961,2024-01-01,2,0,2,0,0,136.5
M005630,2025-08-01,1,1,0,0,0,772.0
M005090,2025-01-01,1,0,1,0,0,99.0
M008084,2025-04-01,2,1,1,0,0,546.5
M007761,2024-07-01,1,1,0,0,0,627.0
M004580,2025-07-01,1,0,1,0,0,98.0
M008316,2025-04-01,1,0,0,1,0,633.0
M009115,2024-10-01,1,0,1,0,0,526.0
M008385,2025-09-01,1,0,0,1,0,187.0
M001608,2024-04-01,1,0,0,1,0,445.0
M001580,2024-01-01,1,0,1,0,0,563.0
M004480,2024-09-01,1,0,1,0,0,296.0
M003485,2025-03-01,1,0,1,0,0,82.0
M005330,2024-06-01,1,0,1,0,0,415.0
M006117,2025-03-01,2,1,1,0,0,217.0
M007345,2025-08-01,2,1,1,0,0,623.0
M004400,2024-04-01,1,0,1,0,0,65.0
M008948,2024-07-01,1,0,1,0,0,801.0
M009623,2024-03-01,1,0,1,0,0,799.0
M000059,2025-04-01,1,1,0,0,0,674.0
M001730,2024-01-01,1,0,0,1,0,243.0
M002021,2024-03-01,1,0,1,0,0,374.0
M004532,2024-03-01,2,0,1,0,1,650.0
M001331,2024-05-01,1,0,1,0,0,860.0
M007273,2025-02-01,1,0,1,0,0,546.0
M005467,2024-10-01,2,1,1,0,0,297.5
M002866,2024-06-01,1,0,1,0,0,85.0
M005799,2025-08-01,2,0,1,1,0,586.0
M008734,2025-07-01,1,0,1,0,0,446.0
M002746,2025-05-01,3,0,1,2,0,612.3333333333334
M000247,2025-06-01,3,1,1,0,1,304.3333333333333
M007713,2024-07-01,1,0,1,0,0,269.0
M006770,2025-09-01,1,1,0,0,0,231.0
M000970,2024-09-01,2,0,2,0,0,620.0
M006015,2025-05-01,1,0,0,1,0,602.0
M006742,2024-05-01,2,0,1,0,1,536.5
M002494,2024-04-01,1,0,1,0,0,831.0
M001518,2025-03-01,1,0,1,0,0,281.0
M003056,2024-07-01,1,0,1,0,0,710.0
M002533,2024-01-01,1,1,0,0,0,211.0
M007981,2025-02-01,1,0,0,0,1,639.0
M008794,2024-11-01,1,1,0,0,0,422.0
M008654,2025-04-01,1,0,1,0,0,261.0
M003994,2024-01-01,1,0,1,0,0,182.0
M001903,2024-12-01,2,0,1,0,1,287.0
M003256,2025-06-01,1,0,1,0,0,734.0
M008290,2024-03-01,1,0,1,0,0,312.0
M005126,2024-05-01,2,0,1,0,1,403.0
M004134,2024-07-01,1,0,1,0,0,451.0
M001041,2025-06-01,1,0,1,0,0,399.0
M007124,2025-09-01,2,0,1,0,1,787.5
