member_id,campaign_id,touch_date,opened_email_flag,clicked_flag,conversion_flag
M000029,C202415,2025-01-08,1,1,1
M005002,C202404,2024-06-28,0,1,0
M007377,C202414,2025-07-21,1,0,0
M007217,C202401,2024-11-18,1,0,0
M006933,C202412,2024-05-31,1,0,0
M005444,C202404,2024-10-17,0,0,0
M001106,C202414,2025-04-07,1,0,0
M000105,C202409,2025-01-03,1,0,0
M009997,C202413,2024-09-11,0,0,0
M004862,C202402,2024-04-30,0,1,0
M003102,C202402,2024-09-06,0,0,0
M002822,C202411,2025-08-23,1,0,0
M003399,C202403,2025-04-06,1,0,0
M003827,C202410,2025-01-24,1,0,0
M001100,C202415,2024-03-13,1,0,0
M002245,C202415,2024-09-30,1,0,0
M009045,C202408,2025-09-06,1,0,0
M004814,C202401,2024-05-19,0,0,0
M005141,C202401,2025-02-28,1,1,0
M005921,C202410,2024-02-17,1,0,0
M002284,C202401,2024-04-01,0,0,0
M002362,C202408,2024-06-16,1,0,0
M005229,C202413,2025-09-14,0,0,0
M004197,C202402,2024-12-26,1,0,0
M005956,C202415,2024-06-16,1,1,1
M006899,C202404,2025-09-12,1,0,0
M003061,C202409,2024-12-07,0,0,0
M008511,C202411,2025-04-27,0,1,0
M005939,C202413,2024-11-13,1,0,0
M008998,C202411,2025-01-23,0,1,0
M006336,C202407,2024-04-01,1,0,0
M008528,C202405,2024-11-28,1,0,0
M002401,C202410,2024-04-19,0,1,0
M003051,C202409,2024-12-27,1,1,0
M005952,C202408,2025-07-28,0,1,0
M003321,C202405,2025-08-19,0,0,0
M005842,C202411,2025-09-05,1,1,0
M004954,C202409,2025-04-13,0,0,0
M008651,C202403,2025-01-11,1,0,0
M008040,C202410,2024-07-17,0,0,0
M007577,C202408,2025-09-21,1,1,0
M000560,C202405,2025-07-28,1,0,0
M006497,C202404,2024-08-21,0,0,0
M006598,C202407,2025-06-19,1,0,0
M004113,C202405,2025-02-25,1,1,0
M005690,C202415,2024-11-19,1,1,1
M002768,C202404,2025-01-21,0,0,0
M005691,C202405,2025-02-10,1,1,0
M004349,C202412,2025-05-23,0,0,0
M008636,C202401,2024-10-09,1,1,0
M009531,C202408,2025-03-14,1,0,0
M002391,C202411,2025-01-15,1,1,0
M008716,C202414,2024-05-19,0,0,0
M006819,C202413,2025-07-31,0,0,0
M005529,C202408,2024-06-21,0,0,0
M007020,C202412,2024-11-01,0,1,0
M009459,C202414,2024-03-10,0,1,0
M002733,C202411,2025-03-05,0,0,0
M009835,C202404,2024-08-20,0,0,0
M008685,C202414,2025-05-08,0,0,0
M005298,C202405,2025-07-14,0,0,0
M001159,C202412,2024-03-22,0,1,0
M000822,C202402,2024-09-21,0,0,0
M002964,C202410,2025-03-15,1,1,0
M003560,C202413,2024-06-29,1,0,0
M009752,C202408,2025-09-06,0,0,0
M004662,C202402,2024-04-06,1,0,0
M005999,C202411,2025-07-31,0,0,0
M008422,C202407,2025-07-08,0,0,0
M008972,C202413,2024-11-10,0,1,0
M002372,C202401,2024-12-29,1,1,1
M008625,C202412,2024-10-01,0,1,0
M004604,C202410,2025-08-17,0,0,0
M001556,C202411,2025-07-05,0,0,0
M009027,C202401,2024-04-04,1,1,0
M009503,C202402,2024-04-18,1,0,0
M009662,C202403,2024-05-27,1,1,0
M009997,C202408,2025-09-24,1,0,0
M000494,C202410,2024-07-23,1,0,0
M003511,C202404,2024-10-07,0,1,0
M007124,C202415,2024-03-20,0,0,0
M004737,C202401,2024-06-08,0,0,0
M002662,C202415,2025-05-23,1,0,0
M007173,C202415,2025-07-28,0,0,0
M000760,C202405,2024-10-29,1,0,0
M001657,C202414,2025-04-04,1,0,0
M004459,C202407,2025-03-07,0,1,0
M007332,C202408,2025-02-18,0,0,0
M008599,C202412,2024-11-19,1,0,0
M002272,C202415,2024-05-06,1,0,0
M001335,C202411,2025-01-14,0,0,0
M001414,C202414,2024-12-08,0,0,0
M009599,C202404,2024-05-08,0,0,0
M001164,C202409,2025-04-02,0,0,0
M006209,C202401,2024-05-07,0,1,0
M002176,C202407,2025-03-20,1,0,0
M002528,C202407,2025-03-05,1,0,0
M005386,C202403,2024-11-03,0,0,0
M003926,C202408,2025-05-22,1,0,0
