member_id,join_date,age,gender,language_pref,zipcode,employment_status,income_bracket,channel_signup,churn_flag
M000113,2025-08-03,41,m,english,80110,full_time,100k_plus,branch,0
M000114,2024-08-11,70,f,spanish,80218,full_time,50k_75k,branch,0
M000115,2024-05-03,38,f,spanish,80224,retired,75k_100k,online,0
M000116,2024-12-09,44,f,english,80212,full_time,100k_plus,online,0
M000117,2025-06-07,40,m,english,80204,unemployed,25k_50k,online,1
M000118,2024-02-21,26,m,english,67227,part_time,25k_50k,branch,0
M000119,2024-05-08,54,f,english,80033,full_time,25k_50k,online,0
M000120,2024-05-14,49,f,english,80220,full_time,100k_plus,online,0
M000121,2024-05-06,49,m,english,80202,student,75k_100k,branch,0
M000122,2024-03-11,29,f,english,80111,full_time,50k_75k,online,0
M000123,2024-09-29,57,m,english,80218,full_time,75k_100k,branch,0
M000124,2024-07-05,23,m,spanish,67203,full_time,25k_50k,online,1
M000125,2024-01-03,47,f,spanish,80206,part_time,25k_50k,online,0
M000126,2024-10-11,66,m,english,80203,unemployed,50k_75k,referral,0
M000127,2024-01-22,28,m,english,80226,part_time,75k_100k,online,0
M000128,2024-06-14,33,m,english,80226,part_time,25k_50k,branch,0
M000129,2024-11-05,41,m,spanish,80014,full_time,25k_50k,online,0
M000130,2025-04-21,34,m,english,80223,part_time,50k_75k,referral,1
M000131,2025-05-12,21,f,spanish,80205,full_time,25k_50k,online,1
M000132,2025-03-09,41,f,spanish,80218,student,75k_100k,branch,0
M000133,2024-08-21,27,m,english,67202,retired,50k_75k,online,0
M000134,2025-01-10,46,f,english,80202,part_time,50k_75k,online,0
M000135,2024-09-02,29,f,spanish,80033,unemployed,100k_plus,branch,0
M000136,2024-10-29,59,m,english,80121,retired,75k_100k,branch,0
M000137,2025-02-08,31,m,english,80205,full_time,25k_50k,branch,0
M000138,2024-01-21,36,m,english,80016,full_time,50k_75k,online,0
M000139,2024-09-13,50,m,english,80203,retired,25k_50k,branch,0
M000140,2025-02-02,25,f,english,80112,unemployed,75k_100k,online,1
M000141,2025-06-12,43,m,other,67207,full_time,75k_100k,online,0
M000142,2024-02-20,56,f,english,67219,student,50k_75k,online,0
M000143,2025-03-22,21,f,spanish,80220,full_time,75k_100k,online,0
M000144,2024-09-26,42,m,english,80121,full_time,50k_75k,referral,0
M000145,2025-08-17,43,f,english,80227,retired,75k_100k,referral,1
M000146,2025-09-27,49,m,english,80218,unemployed,under_25k,online,0
M000147,2024-09-18,25,m,other,80206,full_time,25k_50k,online,0
M000148,2024-12-30,24,f,english,67211,full_time,75k_100k,online,0
M000149,2024-02-18,46,m,spanish,67204,student,under_25k,online,1
M000150,2025-06-01,44,m,english,80222,full_time,75k_100k,online,0
M000151,2025-09-20,43,f,spanish,80122,full_time,75k_100k,branch,0
M000152,2024-04-27,44,f,english,80120,full_time,75k_100k,referral,1
M000153,2025-03-28,32,m,english,80030,full_time,75k_100k,online,0
M000154,2025-01-31,43,m,english,80016,part_time,50k_75k,referral,1
M000155,2024-01-27,44,f,english,80030,full_time,100k_plus,referral,0
M000156,2025-01-06,31,f,english,80015,full_time,50k_75k,online,1
M000157,2024-04-06,62,m,english,80218,retired,50k_75k,online,0
M000158,2025-06-12,46,f,spanish,80111,unemployed,50k_75k,online,0
M000159,2025-09-04,26,f,english,67214,full_time,100k_plus,online,0
M000160,2024-07-04,48,f,english,80123,full_time,25k_50k,online,0
M000161,2024-08-02,28,f,spanish,80207,part_time,75k_100k,branch,0
M000162,2024-09-07,49,f,english,80207,full_time,25k_50k,branch,0
M000163,2024-08-03,54,m,english,80121,full_time,under_25k,referral,1
M000164,2024-01-29,30,m,english,80123,full_time,100k_plus,branch,0
M000165,2024-04-11,52,f,spanish,80010,unemployed,25k_50k,referral,0
M000166,2024-05-02,45,f,english,80204,unemployed,75k_100k,online,0
M000167,2024-02-23,50,f,english,80231,retired,50k_75k,online,0
M000168,2024-10-09,63,m,english,67219,part_time,75k_100k,online,0
M000169,2025-09-05,37,f,english,80030,student,75k_100k,online,0
M000170,2024-04-26,31,m,english,80030,full_time,25k_50k,branch,1
M000171,2025-09-07,29,unknown,english,80209,full_time,50k_75k,online,0
M000172,2025-07-10,30,m,english,80224,part_time,under_25k,online,0
M000173,2024-04-23,39,f,english,80016,student,50k_75k,referral,0
M000174,2025-06-26,44,m,english,80212,full_time,75k_100k,event,0
M000175,2024-10-19,43,f,english,80220,full_time,25k_50k,online,0
M000176,2024-07-13,50,m,english,67219,unemployed,75k_100k,online,0
M000177,2024-10-18,40,f,english,80120,full_time,under_25k,online,0
M000178,2024-09-17,57,f,english,80015,full_time,under_25k,online,0
M000179,2024-07-25,37,f,english,80110,full_time,under_25k,branch,0
M000180,2025-07-17,73,f,english,80121,full_time,25k_50k,branch,0
M000181,2024-02-18,48,m,english,80207,full_time,50k_75k,online,1
M000182,2024-01-06,30,m,english,80016,full_time,under_25k,online,0
M000183,2025-01-13,27,f,spanish,80122,part_time,100k_plus,online,0
M000184,2025-01-28,46,m,spanish,80205,full_time,100k_plus,event,0
M000185,2024-08-11,37,f,english,80206,part_time,50k_75k,online,0
M000186,2024-01-23,49,f,english,80207,full_time,50k_75k,referral,0
M000187,2024-04-19,46,m,english,80220,full_time,100k_plus,online,0
M000188,2025-07-06,39,m,english,80120,retired,75k_100k,online,1
M000189,2025-02-02,30,m,spanish,67203,student,25k_50k,online,0
M000190,2024-06-20,22,m,english,67208,part_time,75k_100k,referral,0
M000191,2024-11-01,35,f,english,80220,full_time,25k_50k,online,0
M000192,2025-07-17,50,f,english,80033,full_time,50k_75k,branch,0
M000193,2025-08-04,43,m,english,80123,student,50k_75k,online,0
M000194,2024-05-30,25,m,english,80227,full_time,75k_100k,online,0
M000195,2025-03-03,42,f,english,80209,student,25k_50k,online,0
M000196,2025-09-12,45,m,english,80205,part_time,under_25k,branch,0
M000197,2025-04-11,29,m,english,67213,student,100k_plus,referral,0
M000198,2025-09-21,42,m,english,67203,part_time,75k_100k,online,0
M000199,2025-08-29,41,f,spanish,80010,full_time,50k_75k,online,0
M000200,2025-07-09,26,m,english,80012,full_time,75k_100k,branch,0
M000201,2024-03-07,44,m,english,80122,part_time,75k_100k,online,0
M000202,2024-06-04,47,f,english,80033,student,50k_75k,online,0
M000203,2024-07-24,53,m,spanish,67206,full_time,25k_50k,online,0
M000204,2024-06-03,53,f,english,67212,full_time,50k_75k,branch,0
M000205,2025-05-23,23,m,english,67226,full_time,100k_plus,branch,0
M000206,2025-07-25,29,m,english,67202,part_time,75k_100k,online,0
M000207,2024-03-14,46,m,other,80112,full_time,50k_75k,online,0
M000208,2024-02-18,46,m,spanish,80022,unemployed,25k_50k,online,1
M000209,2025-04-11,46,m,english,67212,full_time,100k_plus,online,0
M000210,2025-08-07,86,m,english,80231,unemployed,75k_100k,online,0
M000211,2024-06-27,47,m,english,67214,student,50k_75k,online,1
M000212,2024-02-17,54,m,english,80231,full_time,under_25k,referral,0
M000213,2024-03-12,51,f,spanish,80010,full_time,75k_100k,referral,0
M000214,2024-04-22,48,f,english,80205,retired,25k_50k,online,0
M000215,2024-06-07,36,f,english,80112,full_time,50k_75k,branch,0
M000216,2024-01-30,49,f,spanish,80219,full_time,50k_75k,branch,0
M000217,2024-04-06,31,f,english,80223,unemployed,75k_100k,online,0
M000218,2024-09-07,37,m,english,80223,full_time,50k_75k,online,0
M000219,2025-06-02,34,m,english,80216,full_time,75k_100k,online,1
M000220,2024-04-01,41,m,english,80231,full_time,under_25k,branch,0
M000221,2024-04-22,68,f,english,80211,retired,75k_100k,online,0
M000222,2024-09-15,18,f,english,67213,full_time,25k_50k,branch,0
M000223,2024-04-16,48,f,english,80212,full_time,50k_75k,referral,0
M000224,2025-07-28,21,m,english,67211,full_time,50k_75k,branch,0
M000225,2025-01-24,34,f,spanish,80209,retired,75k_100k,event,0
M000226,2024-12-23,53,m,other,80211,student,75k_100k,branch,0
M000227,2024-07-17,41,m,english,80030,full_time,75k_100k,online,0
M000228,2025-03-02,27,f,english,80226,part_time,under_25k,referral,0
M000229,2025-04-22,31,m,spanish,80223,full_time,50k_75k,online,0
M000230,2025-05-17,48,m,english,80224,part_time,25k_50k,event,0
M000231,2025-07-26,31,f,english,80209,unemployed,50k_75k,online,0
M000232,2024-04-29,43,f,english,80033,full_time,75k_100k,referral,1
M000233,2025-07-26,41,m,english,80231,unemployed,25k_50k,online,0
M000234,2024-11-04,32,m,english,80016,student,50k_75k,online,0
M000235,2025-06-21,66,f,english,67204,full_time,100k_plus,online,1
M000236,2025-09-18,48,m,spanish,80219,student,75k_100k,online,0
M000237,2025-04-19,18,m,english,67214,full_time,75k_100k,branch,0
M000238,2025-07-05,42,m,english,80121,full_time,100k_plus,online,0
M000239,2024-12-09,32,f,english,80216,part_time,50k_75k,branch,0
M000240,2025-09-19,50,m,english,67203,retired,75k_100k,branch,0
M000241,2024-05-15,30,m,spanish,80205,full_time,under_25k,branch,0
M000242,2024-10-03,39,m,english,80110,retired,under_25k,branch,0
M000243,2025-06-16,46,m,spanish,80015,unemployed,25k_50k,online,0
M000244,2024-01-31,50,m,english,80112,full_time,25k_50k,online,0
M000245,2024-09-03,26,f,english,80033,retired,50k_75k,online,0
M000246,2025-02-14,36,f,english,80017,full_time,25k_50k,online,1
M000247,2024-01-27,34,f,english,80110,full_time,100k_plus,online,0
M000248,2024-03-13,32,f,english,80205,unemployed,100k_plus,event,0
M000249,2024-04-06,61,f,english,67227,full_time,100k_plus,online,0
M000250,2024-12-11,45,f,spanish,80015,part_time,75k_100k,online,0
M000251,2025-04-20,25,f,spanish,67204,part_time,100k_plus,branch,1
M000252,2024-10-26,51,f,english,80030,full_time,50k_75k,referral,0
M000253,2024-10-25,65,m,english,67212,part_time,50k_75k,event,0
M000254,2024-10-13,52,m,english,80202,full_time,25k_50k,branch,0
M000255,2025-03-24,22,other,english,67211,full_time,75k_100k,online,0
M000256,2024-07-30,34,f,english,80224,unemployed,75k_100k,online,0
M000257,2024-03-16,55,f,english,80015,unemployed,50k_75k,branch,1
M000258,2025-02-04,32,unknown,english,80015,full_time,25k_50k,online,0
M000259,2024-02-03,45,f,english,80209,full_time,50k_75k,online,0
M000260,2025-05-12,49,f,english,80022,full_time,under_25k,referral,0
M000261,2025-05-30,29,m,other,67218,retired,75k_100k,online,0
M000262,2024-11-23,39,f,english,80010,full_time,50k_75k,online,0
M000263,2024-04-07,18,f,english,80110,full_time,100k_plus,branch,0
M000264,2024-12-31,28,unknown,english,67207,retired,100k_plus,online,0
M000265,2025-04-07,37,f,english,67211,full_time,25k_50k,online,0
M000266,2024-01-28,25,f,spanish,80224,full_time,100k_plus,referral,0
M000267,2025-01-20,60,f,english,80012,full_time,100k_plus,branch,0
M000268,2024-09-29,23,m,other,80218,retired,75k_100k,online,0
M000269,2024-05-06,35,m,english,80012,full_time,75k_100k,online,0
M000270,2024-07-20,42,f,spanish,80212,full_time,under_25k,branch,0
M000271,2025-06-04,57,m,english,67207,retired,100k_plus,online,0
M000272,2024-10-13,23,f,spanish,80017,retired,50k_75k,branch,1
M000273,2025-03-25,54,m,english,80010,full_time,100k_plus,branch,0
M000274,2024-03-28,40,m,english,80223,part_time,50k_75k,branch,0
M000275,2024-11-13,28,m,english,80110,full_time,75k_100k,referral,0
M000276,2024-01-19,46,m,spanish,67202,full_time,50k_75k,branch,0
M000277,2025-08-15,42,m,spanish,67211,full_time,50k_75k,online,0
M000278,2024-04-16,33,f,english,80017,full_time,100k_plus,referral,0
M000279,2025-04-02,41,m,english,80224,part_time,75k_100k,online,1
M000280,2024-11-06,35,f,english,80204,full_time,100k_plus,referral,1
M000281,2025-02-15,41,f,english,80224,full_time,50k_75k,branch,0
M000282,2025-09-15,48,f,spanish,80211,full_time,100k_plus,online,0
M000283,2025-09-26,59,m,english,67206,unemployed,75k_100k,branch,0
M000284,2025-05-12,25,f,english,80033,full_time,under_25k,online,0
M000285,2024-08-31,66,m,english,80212,part_time,75k_100k,event,0
M000286,2025-07-30,18,m,spanish,67226,full_time,under_25k,online,1
M000287,2025-01-14,38,f,english,80209,part_time,75k_100k,online,0
M000288,2025-05-29,47,m,english,80211,full_time,25k_50k,online,1
M000289,2024-07-25,43,f,spanish,67226,full_time,50k_75k,online,0
M000290,2025-01-28,33,f,english,80122,part_time,75k_100k,branch,0
M000291,2024-01-21,38,m,spanish,80120,full_time,75k_100k,online,0
M000292,2025-06-10,34,m,english,80017,full_time,75k_100k,online,0
M000293,2024-12-08,33,f,english,67227,full_time,100k_plus,online,0
M000294,2024-07-20,50,f,spanish,80207,full_time,50k_75k,branch,0
M000295,2024-04-29,44,f,spanish,80209,student,50k_75k,online,0
M000296,2025-01-23,32,m,english,80219,full_time,25k_50k,online,0
M000297,2025-06-20,51,m,english,80017,full_time,50k_75k,online,0
M000298,2024-08-21,44,m,english,80202,full_time,25k_50k,branch,0
M000299,2025-09-24,50,m,english,80110,full_time,75k_100k,branch,0
M000300,2025-08-24,48,m,spanish,80110,full_time,25k_50k,branch,0
M000301,2024-11-15,30,m,spanish,80123,full_time,100k_plus,online,1
M000302,2024-06-28,33,m,spanish,67204,full_time,50k_75k,branch,0
M000303,2025-01-02,49,f,english,80219,retired,25k_50k,online,0
M000304,2024-03-16,47,f,english,67207,full_time,50k_75k,online,1
M000305,2025-05-10,40,m,english,67202,retired,25k_50k,online,0
M000306,2025-06-05,41,f,english,80231,retired,25k_50k,online,0
M000307,2024-07-19,55,f,english,80012,full_time,75k_100k,online,0
M000308,2024-12-11,33,f,spanish,80012,full_time,50k_75k,branch,1
M000309,2025-04-27,47,f,english,67203,full_time,25k_50k,referral,0
M000310,2024-08-06,38,m,english,80220,part_time,under_25k,online,0
M000311,2024-02-29,37,m,english,80033,part_time,50k_75k,online,0
M000312,2025-09-10,53,m,english,67227,part_time,75k_100k,online,0
M000313,2025-07-03,50,m,spanish,80223,full_time,50k_75k,online,1
M000314,2024-08-08,50,f,english,80202,full_time,25k_50k,referral,0
M000315,2025-05-16,56,f,spanish,67219,retired,50k_75k,event,0
M000316,2024-05-12,40,m,english,80033,full_time,100k_plus,online,0
M000317,2024-02-22,48,f,english,67213,unemployed,50k_75k,online,0
M000318,2025-03-25,36,f,spanish,67214,full_time,25k_50k,branch,0
M000319,2024-03-02,44,m,english,67227,full_time,50k_75k,online,0
M000320,2024-01-23,38,f,english,67211,retired,75k_100k,branch,0
M000321,2024-02-13,41,m,english,80216,part_time,under_25k,branch,0
M000322,2025-07-11,47,f,english,80012,student,50k_75k,referral,0
M000323,2024-02-16,30,m,english,67227,full_time,75k_100k,branch,0
M000324,2024-01-24,65,m,english,67203,retired,25k_50k,online,0
M000325,2024-03-29,28,f,english,67207,retired,100k_plus,online,0
M000326,2024-06-22,25,f,english,80012,full_time,50k_75k,event,0
M000327,2025-07-29,54,m,english,80227,full_time,50k_75k,online,0
M000328,2024-04-28,49,f,english,80205,part_time,100k_plus,online,0
M000329,2024-06-26,47,f,english,80121,unemployed,25k_50k,online,0
M000330,2024-12-07,48,m,english,80227,part_time,75k_100k,online,0
M000331,2025-07-21,40,m,english,80212,unemployed,75k_100k,online,0
M000332,2024-02-28,29,m,english,80123,full_time,50k_75k,online,0
M000333,2025-03-13,41,m,english,67212,retired,under_25k,referral,0
M000334,2025-03-03,32,f,english,67226,full_time,50k_75k,online,0
M000335,2025-03-01,52,f,english,80112,full_time,25k_50k,branch,0
M000336,2025-01-15,38,f,english,67212,full_time,50k_75k,referral,0
M000337,2025-04-30,30,f,english,80017,part_time,75k_100k,referral,0
M000338,2024-07-03,36,m,other,80120,full_time,50k_75k,branch,0
M000339,2025-07-12,45,m,english,80207,unemployed,75k_100k,online,0
M000340,2025-04-04,33,f,spanish,80222,retired,under_25k,online,0
M000341,2024-04-11,30,f,english,80120,student,under_25k,branch,1
M000342,2025-07-09,43,m,english,67211,full_time,100k_plus,event,0
M000343,2024-01-15,43,m,english,67214,full_time,under_25k,online,0
M000344,2024-02-20,34,f,english,80222,full_time,25k_50k,branch,0
M000345,2024-11-04,34,m,english,80014,student,100k_plus,online,1
M000346,2024-02-03,43,m,english,80212,full_time,50k_75k,online,0
M000347,2025-09-27,23,f,english,80219,part_time,75k_100k,online,0
M000348,2025-08-11,23,other,english,80222,full_time,25k_50k,online,0
M000349,2025-09-26,31,f,english,67202,student,25k_50k,branch,0
M000350,2024-07-23,37,f,english,80122,full_time,50k_75k,online,0
M000351,2024-03-10,44,m,english,67219,part_time,75k_100k,online,0
M000352,2024-08-17,58,f,spanish,80224,full_time,100k_plus,online,0
M000353,2025-04-24,50,m,english,80227,full_time,50k_75k,online,0
M000354,2025-06-16,38,unknown,english,80030,retired,under_25k,branch,0
M000355,2024-04-17,40,m,english,80022,full_time,50k_75k,online,0
M000356,2024-08-28,28,f,english,67218,unemployed,25k_50k,referral,0
M000357,2024-09-07,40,f,english,80206,full_time,25k_50k,online,0
M000358,2024-05-14,37,m,other,80017,full_time,50k_75k,branch,0
M000359,2024-03-30,44,f,english,80216,full_time,25k_50k,online,0
M000360,2025-08-13,30,m,spanish,80010,unemployed,25k_50k,online,0
M000361,2025-03-15,46,m,spanish,80110,unemployed,100k_plus,online,0
M000362,2024-10-24,58,m,english,80111,full_time,50k_75k,online,0
M000363,2025-02-10,39,f,english,67218,full_time,25k_50k,online,0
M000364,2024-11-03,45,f,spanish,67213,student,25k_50k,online,0
M000365,2024-04-11,48,m,english,80207,retired,75k_100k,referral,0
M000366,2024-12-26,35,m,english,67227,part_time,100k_plus,referral,0
M000367,2025-09-15,43,f,english,80204,retired,75k_100k,online,0
M000368,2025-09-07,40,m,english,80205,full_time,50k_75k,branch,0
M000369,2025-06-11,41,f,english,67207,part_time,75k_100k,online,0
M000370,2025-08-30,31,f,english,80016,student,100k_plus,branch,0
M000371,2024-10-19,40,f,english,67204,full_time,25k_50k,branch,1
M000372,2024-05-25,46,f,other,80015,student,100k_plus,online,1
M000373,2025-02-07,57,m,english,67207,unemployed,100k_plus,branch,0
M000374,2024-01-02,52,f,english,80030,retired,50k_75k,online,0
M000375,2024-04-28,66,m,english,67227,full_time,25k_50k,branch,0
M000376,2025-08-28,31,m,english,80120,full_time,50k_75k,online,1
M000377,2024-07-09,50,m,english,80121,full_time,25k_50k,branch,0
M000378,2024-01-03,42,f,spanish,67227,full_time,25k_50k,online,0
M000379,2025-05-01,66,f,english,80120,unemployed,100k_plus,online,0
M000380,2025-09-14,30,m,spanish,80033,full_time,50k_75k,online,0
M000381,2024-06-25,30,f,english,80209,student,50k_75k,branch,1
M000382,2024-09-13,33,m,english,67212,full_time,25k_50k,online,0
M000383,2025-06-17,18,f,english,80121,part_time,50k_75k,online,0
M000384,2025-04-21,34,m,english,67211,full_time,75k_100k,online,0
M000385,2025-02-01,31,f,english,80022,full_time,25k_50k,online,0
M000386,2025-05-10,42,f,english,80030,full_time,50k_75k,online,0
M000387,2024-08-07,44,m,english,80206,part_time,25k_50k,online,0
M000388,2024-06-21,63,f,spanish,80207,student,50k_75k,online,1
M000389,2025-01-24,51,m,english,80111,full_time,100k_plus,online,0
M000390,2025-05-16,33,f,spanish,80209,full_time,25k_50k,referral,0
M000391,2025-07-30,29,f,english,80017,student,under_25k,branch,1
M000392,2024-09-16,46,f,spanish,67214,student,50k_75k,branch,0
M000393,2024-05-10,24,m,english,80223,full_time,50k_75k,online,0
M000394,2024-04-22,62,f,spanish,80220,full_time,25k_50k,branch,0
M000395,2024-01-20,54,m,english,80227,full_time,75k_100k,online,0
M000396,2024-08-02,34,f,english,80216,full_time,under_25k,online,0
M000397,2024-11-05,19,f,english,80022,full_time,50k_75k,online,0
M000398,2024-09-07,56,f,spanish,80218,part_time,25k_50k,online,1
M000399,2025-05-02,39,f,english,80022,retired,25k_50k,online,0
M000400,2025-01-16,55,m,other,80022,full_time,50k_75k,online,0
M000401,2025-02-12,21,f,english,80121,student,50k_75k,branch,0
M000402,2024-09-27,33,m,english,80203,part_time,under_25k,online,0
