account_id,member_id,account_type,open_date,status,balance,interest_rate,funded_flag
A000159,M002967,savings,2023-07-13,active,4006.27,0.88,1
A000160,M000620,savings,2023-10-24,active,8792.24,3.861,1
A000161,M004253,checking,2024-07-08,active,1890.84,0.887,1
A000162,M002839,cd,2023-12-23,active,590.17,3.267,1
A000163,M008724,credit_card,2023-02-22,active,3877.31,2.98,1
A000164,M005580,checking,2023-06-19,active,48.85,1.502,1
A000165,M008839,loan,2023-04-18,active,2490.16,1.425,1
A000166,M006360,savings,2023-06-22,active,3314.85,2.607,1
A000167,M000185,savings,2024-05-13,active,6798.25,1.237,0
A000168,M002274,loan,2024-02-06,active,8335.09,2.523,0
A000169,M005135,savings,2023-12-06,active,2048.88,1.689,1
A000170,M005221,savings,2024-09-22,active,1451.64,2.87,1
A000171,M008710,checking,2023-08-08,active,12672.65,3.448,1
A000172,M002178,checking,2023-08-17,active,1423.14,2.62,1
A000173,M003680,cd,2023-11-08,active,3390.73,1.487,1
A000174,M004057,cd,2023-12-11,closed,900.03,2.272,1
A000175,M001185,savings,2024-06-03,closed,6996.3,2.158,1
A000176,M007805,checking,2023-11-28,active,7669.98,3.455,1
A000177,M004163,loan,2024-04-21,active,8015.76,2.957,1
A000178,M003240,savings,2023-09-13,active,4143.88,0.677,1
A000179,M001648,savings,2023-07-25,active,3965.72,1.807,1
A000180,M005213,checking,2023-02-14,closed,4231.45,3.038,1
A000181,M004598,checking,2023-12-13,active,3565.07,3.628,1
A000182,M007537,savings,2024-09-17,active,17229.35,2.817,1
A000183,M000527,checking,2024-02-28,active,8604.79,3.025,1
A000184,M009884,savings,2024-06-10,active,26539.61,2.548,1
A000185,M003701,savings,2023-06-20,active,1728.05,1.377,1
A000186,M003081,loan,2024-07-12,active,2566.54,1.89,1
A000187,M001499,checking,2023-12-23,active,7742.68,2.3,1
A000188,M003673,loan,2023-06-25,active,1051.23,1.925,1
A000189,M009298,checking,2024-07-22,active,2106.32,1.383,1
A000190,M000681,credit_card,2024-03-26,closed,14853.29,3.522,1
A000191,M009138,loan,2023-02-02,active,8054.8,1.698,1
A000192,M006231,savings,2023-08-13,closed,2472.67,0.761,0
A000193,M000111,cd,2023-08-29,active,5539.11,3.036,1
A000194,M005955,cd,2023-03-03,active,4643.51,2.118,1
A000195,M008218,checking,2023-06-06,active,3362.34,1.146,1
A000196,M004720,credit_card,2023-04-28,active,4969.73,1.707,1
A000197,M004922,credit_card,2023-03-09,closed,2503.03,2.314,1
A000198,M007921,checking,2023-01-23,closed,7871.58,2.762,0
A000199,M006079,credit_card,2024-07-28,active,407.71,1.988,1
A000200,M004790,savings,2024-09-03,active,2026.96,2.481,1
A000201,M009482,savings,2023-07-16,active,10888.01,1.356,1
A000202,M007284,credit_card,2024-06-30,active,5085.87,2.168,1
A000203,M000817,credit_card,2023-06-11,active,5262.05,1.635,1
A000204,M001982,savings,2024-08-02,active,1818.48,3.206,1
A000205,M000038,savings,2024-01-13,active,2087.79,2.059,1
A000206,M003974,checking,2023-10-27,closed,2873.8,1.022,1
A000207,M003969,credit_card,2024-08-08,active,12080.71,1.284,1
A000208,M002514,savings,2024-01-17,closed,12479.38,3.203,1
A000209,M000868,checking,2024-06-15,active,953.34,0.405,1
A000210,M003174,savings,2023-05-16,active,3346.65,1.217,1
A000211,M003149,credit_card,2024-06-02,active,1427.48,1.108,1
A000212,M003148,checking,2023-08-19,active,6191.85,2.128,1
A000213,M006619,savings,2023-10-25,active,15145.66,4.116,1
A000214,M001174,savings,2023-06-23,closed,1585.49,2.145,1
A000215,M008259,checking,2023-01-28,active,3274.12,1.64,1
A000216,M004769,checking,2024-08-19,active,24350.8,1.211,0
A000217,M006411,checking,2024-04-11,closed,220.45,2.162,1
A000218,M004400,savings,2023-10-11,closed,7648.91,0.1,1
A000219,M001032,savings,2023-06-24,active,14456.19,0.763,1
A000220,M006556,checking,2024-02-09,active,14542.29,3.241,1
A000221,M007370,savings,2023-03-29,active,667.81,2.029,1
A000222,M005330,checking,2023-01-05,active,18471.42,2.918,1
A000223,M006278,savings,2024-05-04,closed,8259.42,1.881,1
A000224,M001445,checking,2024-01-05,active,10110.25,1.867,1
A000225,M002002,checking,2023-08-17,active,12130.51,2.943,1
A000226,M000098,checking,2024-04-29,active,2503.02,0.927,1
A000227,M007324,credit_card,2023-04-03,active,4878.34,0.1,1
A000228,M005388,checking,2023-03-11,active,220.1,1.547,1
A000229,M005041,checking,2024-05-25,active,8597.23,3.083,1
A000230,M000322,savings,2023-09-17,closed,7167.54,1.0,1
A000231,M008733,checking,2023-07-18,active,15708.36,0.263,1
A000232,M009273,checking,2024-07-02,active,8789.78,1.258,1
A000233,M001397,savings,2024-09-18,active,5352.88,2.803,1
A000234,M002692,savings,2024-04-07,active,12372.15,2.972,1
A000235,M003625,cd,2024-05-16,active,6560.97,2.887,1
A000236,M002062,savings,2023-10-16,active,669.82,2.961,1
A000237,M005144,checking,2024-04-13,active,11972.14,2.954,1
A000238,M001835,checking,2023-01-09,active,8530.24,3.11,1
A000239,M006883,checking,2023-10-06,active,1600.45,3.077,1
A000240,M009331,checking,2023-04-30,active,3235.81,2.855,1
A000241,M003376,savings,2023-08-01,closed,12278.95,2.46,1
A000242,M001794,checking,2023-02-15,active,4816.34,1.369,1
A000243,M006364,checking,2024-01-14,active,3719.74,1.579,1
A000244,M001907,checking,2023-11-25,active,11652.55,2.124,1
A000245,M001264,savings,2023-05-22,active,641.08,1.561,1
A000246,M005383,checking,2023-07-09,active,58.25,1.42,1
A000247,M006091,checking,2024-06-02,active,13739.0,1.251,1
A000248,M009526,checking,2024-01-31,closed,8152.94,3.121,0
A000249,M007817,loan,2023-12-10,active,3690.66,1.082,1
A000250,M000459,savings,2023-12-20,closed,2217.27,2.483,1
A000251,M008905,checking,2023-12-23,active,8255.85,0.391,1
A000252,M007998,checking,2024-09-30,active,2345.24,3.152,0
A000253,M009675,loan,2024-06-02,active,3116.42,1.661,1
A000254,M000297,checking,2023-11-05,active,15241.41,2.102,1
A000255,M002026,checking,2024-03-25,active,8756.98,1.612,1
A000256,M006344,loan,2023-09-30,active,3172.59,3.478,1
A000257,M008798,savings,2023-10-01,active,2131.63,2.649,1
A000258,M001326,savings,2024-01-01,active,2122.96,2.867,1
A000259,M002451,credit_card,2023-03-10,active,6866.25,1.652,1
A000260,M008985,credit_card,2024-01-05,active,2242.43,2.184,1
A000261,M000079,checking,2024-01-18,active,3731.07,3.721,1
A000262,M006219,checking,2023-10-10,active,2011.92,1.674,0
A000263,M007754,credit_card,2023-02-13,active,3509.98,3.231,1
A000264,M000433,savings,2023-09-22,active,21352.9,1.8,1
A000265,M009807,savings,2024-06-20,closed,10385.56,1.155,1
A000266,M006127,savings,2024-07-23,active,4216.25,2.077,1
A000267,M004110,credit_card,2024-06-23,active,3332.86,1.146,1
A000268,M007880,loan,2023-01-26,active,1876.22,2.345,1
A000269,M002631,checking,2024-03-24,active,2133.78,2.583,1
A000270,M007118,checking,2024-07-21,closed,2863.12,1.964,1
A000271,M003850,checking,2023-09-01,active,12526.45,2.521,1
A000272,M006070,checking,2023-01-29,active,10695.15,2.955,1
A000273,M007195,checking,2023-01-10,active,7974.49,2.502,1
A000274,M002541,checking,2023-10-03,active,13685.97,2.848,1
A000275,M000007,checking,2023-10-04,closed,13910.91,3.463,1
A000276,M000913,checking,2023-11-22,active,14316.36,1.892,1
A000277,M001303,savings,2024-07-06,active,4298.95,1.454,1
A000278,M002082,savings,2024-09-25,active,13293.15,2.023,1
A000279,M005553,savings,2023-01-26,closed,13171.0,2.745,0
A000280,M008225,savings,2024-07-15,active,17052.4,4.46,1
A000281,M003619,checking,2024-02-26,active,10115.27,1.982,1
A000282,M001222,savings,2023-01-08,active,319.47,0.557,1
A000283,M005186,savings,2023-07-24,closed,1909.86,2.453,1
A000284,M002231,savings,2024-06-14,active,17390.36,1.292,1
A000285,M001047,loan,2024-06-16,closed,3418.44,0.966,1
A000286,M008705,checking,2024-03-06,active,1855.76,0.609,0
A000287,M000031,checking,2024-09-21,active,5132.26,2.296,1
A000288,M007815,checking,2023-01-25,closed,8845.83,2.534,1
A000289,M009432,checking,2024-01-08,active,3636.95,0.1,0
A000290,M007497,checking,2024-06-05,active,2573.19,0.786,1
A000291,M002602,checking,2023-04-25,active,3353.5,0.383,0
A000292,M005970,savings,2024-07-13,active,1232.01,4.35,1
A000293,M004351,savings,2024-05-09,active,14461.46,2.664,1
A000294,M002260,credit_card,2023-08-08,active,2968.11,0.697,0
A000295,M002948,loan,2023-04-03,active,494.83,2.65,1
A000296,M004581,credit_card,2024-05-27,active,1205.33,0.665,1
A000297,M005374,credit_card,2023-10-19,closed,6613.67,2.164,1
A000298,M005594,savings,2023-09-05,closed,9334.26,3.373,1
A000299,M001461,savings,2024-08-06,active,1621.4,0.486,1
A000300,M000858,checking,2024-04-21,active,2117.44,2.546,1
A000301,M003450,credit_card,2023-02-20,active,14789.38,1.699,1
A000302,M004653,savings,2023-06-07,active,14607.18,1.821,1
A000303,M002826,loan,2023-10-01,active,1525.49,0.643,1
A000304,M006702,savings,2023-07-04,active,3511.95,2.47,1
A000305,M005235,checking,2024-02-16,active,3873.18,1.117,1
A000306,M000933,savings,2024-03-04,active,7639.26,2.625,1
A000307,M000127,credit_card,2023-02-01,active,6092.04,2.31,1
A000308,M002665,loan,2024-07-07,closed,1076.28,2.328,1
A000309,M005368,checking,2024-04-15,active,1440.77,2.418,1
A000310,M008948,savings,2023-12-01,active,320.27,1.59,1
A000311,M006637,credit_card,2024-05-20,active,14412.5,1.759,1
A000312,M005791,savings,2023-11-20,active,2961.41,3.274,1
A000313,M002786,checking,2024-07-29,active,2792.23,2.36,1
A000314,M009037,checking,2024-04-10,active,12788.71,2.504,1
A000315,M004692,loan,2024-06-10,active,10499.99,3.385,1
A000316,M003250,credit_card,2024-04-23,active,3822.35,2.547,0
A000317,M002667,checking,2023-09-23,active,2322.12,2.057,1
A000318,M006473,cd,2024-05-03,active,2235.94,2.256,1
A000319,M001933,credit_card,2023-02-16,closed,5760.17,2.222,0
A000320,M007668,credit_card,2024-01-09,closed,2741.93,1.799,1
A000321,M004201,checking,2023-06-22,active,5212.7,4.24,1
A000322,M001630,credit_card,2023-08-06,active,24.28,2.172,1
A000323,M003900,savings,2023-01-04,closed,2901.34,1.401,1
A000324,M002079,savings,2024-03-24,active,10877.35,2.211,1
A000325,M001601,savings,2024-04-14,closed,6574.99,3.012,1
A000326,M001314,checking,2023-05-11,active,834.22,2.297,1
A000327,M008446,savings,2024-07-07,active,1699.98,1.323,1
A000328,M006318,checking,2023-08-27,active,53.93,1.71,1
A000329,M006052,savings,2023-01-03,active,2755.33,2.682,1
A000330,M009810,savings,2023-02-24,active,2266.67,1.957,1
A000331,M000932,checking,2024-04-08,active,4382.48,1.379,1
A000332,M000740,savings,2024-07-26,active,30206.29,1.061,1
A000333,M004376,checking,2023-12-10,active,5099.57,2.358,1
A000334,M007923,savings,2023-11-06,active,3937.64,1.797,1
A000335,M001511,savings,2024-06-09,active,393.52,1.03,1
A000336,M008951,credit_card,2024-02-26,closed,5479.18,1.794,1
A000337,M000090,checking,2023-04-04,active,2825.94,3.689,1
A000338,M002507,checking,2023-06-06,closed,1278.81,3.849,1
A000339,M007545,cd,2023-02-13,active,3438.86,2.411,1
A000340,M009481,checking,2023-08-05,active,1969.24,1.166,1
A000341,M003036,checking,2024-03-02,closed,983.14,1.758,1
A000342,M002386,checking,2024-03-18,active,10015.3,4.53,1
A000343,M002407,checking,2023-01-12,active,29137.47,2.5,0
A000344,M001558,checking,2024-04-11,active,2793.64,1.982,1
A000345,M001947,checking,2023-06-11,closed,13213.78,4.414,1
A000346,M005564,savings,2023-12-16,active,11929.08,2.733,1
A000347,M007241,loan,2023-12-06,active,1119.44,2.068,1
A000348,M009248,checking,2023-07-21,active,6055.92,3.434,1
A000349,M002924,savings,2023-09-24,active,11165.42,0.33,1
A000350,M008368,savings,2024-04-05,active,1578.51,2.03,1
A000351,M009411,savings,2023-03-09,active,4711.39,0.1,1
A000352,M002531,savings,2023-09-11,active,1994.01,0.478,0
A000353,M003123,savings,2024-09-02,active,2202.64,1.701,1
A000354,M005322,checking,2023-02-27,active,11788.6,1.824,1
A000355,M008733,credit_card,2023-06-14,active,3896.96,1.74,1
A000356,M009329,credit_card,2023-07-05,active,1438.66,2.262,1
A000357,M006686,savings,2023-09-30,closed,2491.52,0.798,1
A000358,M002840,savings,2024-03-15,active,9627.64,1.512,0
A000359,M002388,checking,2023-07-18,active,14516.51,2.175,1
A000360,M000133,checking,2024-09-18,active,1174.38,1.103,1
A000361,M008945,cd,2023-04-15,active,2015.9,3.043,1
A000362,M008363,savings,2024-01-09,active,4350.8,0.215,1
A000363,M001358,checking,2024-06-22,active,1432.02,2.22,1
A000364,M005973,loan,2023-10-08,active,1880.48,3.623,1
A000365,M007229,credit_card,2023-07-17,active,17152.36,1.398,1
A000366,M002620,savings,2023-11-09,active,2558.6,1.052,1
A000367,M006703,savings,2023-08-04,active,2611.21,0.949,1
A000368,M002833,checking,2024-03-14,active,19127.14,1.88,1
A000369,M006805,savings,2023-06-28,active,2727.91,4.389,1
A000370,M002144,credit_card,2023-07-30,active,6896.45,2.191,1
A000371,M004419,savings,2024-06-20,active,2226.19,3.543,1
A000372,M006677,cd,2023-09-18,active,4358.8,1.294,1
A000373,M009789,checking,2023-05-19,active,2792.9,0.127,1
A000374,M009016,checking,2024-01-24,closed,601.25,3.007,1
A000375,M009306,checking,2023-01-22,active,10339.52,2.156,1
A000376,M004963,savings,2023-08-10,active,11900.19,1.141,1
A000377,M004761,savings,2023-01-09,active,37638.76,1.964,1
A000378,M004654,savings,2023-04-30,active,2453.15,2.771,1
A000379,M005695,checking,2024-05-23,closed,1683.38,1.519,1
A000380,M007433,cd,2023-10-05,active,1979.28,1.923,1
A000381,M001569,savings,2023-05-10,active,8712.81,0.711,1
A000382,M000839,savings,2023-01-01,active,962.45,4.181,1
A000383,M005151,checking,2024-03-12,active,3740.36,0.596,1
A000384,M004099,checking,2024-09-05,active,2202.16,0.602,1
A000385,M003439,savings,2023-12-05,active,11295.97,2.41,1
A000386,M005546,savings,2024-05-20,active,2357.55,2.346,1
A000387,M005856,checking,2024-07-09,active,2138.4,2.2,1
A000388,M000988,cd,2024-03-16,active,840.5,2.998,1
A000389,M005884,savings,2023-07-16,active,12610.52,1.129,1
A000390,M004648,checking,2023-08-18,active,23400.8,1.451,1
A000391,M000230,savings,2023-03-01,active,9717.02,1.439,1
A000392,M004289,checking,2023-09-29,active,30646.42,0.41,1
A000393,M008366,savings,2024-03-30,active,2396.84,2.449,1
A000394,M004296,cd,2023-02-05,active,3600.67,0.178,1
A000395,M004607,cd,2024-09-02,active,760.51,1.521,1
A000396,M003901,checking,2024-01-01,active,7812.83,2.237,1
A000397,M002364,checking,2023-01-10,active,5597.26,3.178,1
A000398,M002166,credit_card,2023-01-12,active,4774.98,1.955,1
A000399,M001794,checking,2024-02-05,active,3150.18,2.663,1
A000400,M001585,savings,2024-08-11,active,2762.02,1.028,1
A000401,M008993,savings,2024-05-18,active,498.2,1.17,1
A000402,M008319,savings,2023-11-06,active,3759.03,2.477,1
A000403,M007017,checking,2023-04-26,closed,9170.49,2.429,1
A000404,M005287,savings,2023-08-25,closed,1368.08,1.642,1
A000405,M008326,checking,2023-03-16,active,4761.69,1.657,1
A000406,M008783,credit_card,2024-09-04,active,7912.39,1.011,1
A000407,M008843,checking,2023-11-13,active,3938.5,1.094,0
A000408,M009783,credit_card,2024-04-14,active,5679.84,0.1,1
A000409,M002567,credit_card,2023-03-17,active,16782.14,1.812,1
A000410,M004589,credit_card,2023-10-15,active,1274.72,1.594,1
A000411,M009515,checking,2023-10-06,active,2181.87,0.852,1
A000412,M008248,savings,2023-08-10,active,1670.36,2.708,1
A000413,M006189,loan,2023-12-15,active,3205.26,1.316,0
A000414,M002422,checking,2023-11-14,active,941.01,4.086,1
A000415,M001105,savings,2023-09-12,active,16471.44,0.757,1
A000416,M005772,savings,2024-01-30,active,901.38,3.335,1
A000417,M003333,checking,2024-07-26,closed,1082.15,2.676,1
A000418,M001644,savings,2023-08-29,active,1444.76,2.501,1
A000419,M006904,credit_card,2023-10-01,closed,1692.32,3.08,1
A000420,M003981,credit_card,2023-03-05,closed,1808.47,1.152,1
A000421,M005864,savings,2024-02-20,active,5081.46,1.336,0
A000422,M006895,savings,2023-06-11,closed,2789.69,1.538,1
A000423,M004462,checking,2023-11-23,active,21228.75,0.931,1
A000424,M009127,cd,2024-01-14,active,3374.29,2.218,1
A000425,M001343,checking,2023-06-23,active,334.46,1.463,1
A000426,M007066,checking,2023-12-05,closed,5071.58,2.025,1
A000427,M008053,cd,2023-01-11,active,2134.34,2.982,1
A000428,M004908,checking,2024-03-05,closed,2038.38,1.919,1
A000429,M008268,savings,2023-02-23,active,8111.72,2.551,1
A000430,M008399,checking,2023-05-25,active,5451.43,1.71,1
A000431,M005659,savings,2024-05-13,active,3977.74,2.853,1
A000432,M006354,loan,2024-08-01,closed,4014.08,0.732,1
A000433,M002186,checking,2023-03-28,active,8270.68,2.753,1
A000434,M000848,checking,2023-02-01,closed,11397.73,2.657,1
A000435,M006392,cd,2023-10-30,closed,517.45,1.164,1
A000436,M004319,savings,2023-01-27,active,15590.94,1.863,1
A000437,M003138,savings,2024-02-25,active,3112.27,2.227,1
A000438,M004050,savings,2024-07-29,active,6148.65,5.583,1
A000439,M000674,checking,2023-05-07,active,2449.46,0.1,1
A000440,M004553,savings,2023-05-17,active,6876.99,2.147,1
A000441,M003132,loan,2023-08-31,active,7949.75,2.217,1
A000442,M004159,checking,2023-03-10,active,13540.61,2.83,1
A000443,M003139,checking,2024-03-23,active,3452.99,1.335,1
A000444,M005124,checking,2023-07-06,active,2860.81,0.284,1
