member_id,age,language_pref,zipcode,channel_signup,tenure_months,dep_90d,events_90d,lead_score,next_best_campaign
M003243,20,spanish,80202,branch,14,12036.240000000002,114,246.03624,CAMP_GENZ_CHECKING
M009383,25,english,80022,online,13,41707.520000000004,98,243.70752,CAMP_GENZ_CHECKING
M001781,23,spanish,80206,branch,21,21439.26,108,243.43926,CAMP_GENZ_CHECKING
M008351,22,english,80030,online,3,47408.31000000001,97,242.90831000000003,CAMP_GENZ_CHECKING
M002140,22,spanish,67213,online,15,11384.04000000001,112,241.38404,CAMP_GENZ_CHECKING
M004418,18,english,67206,branch,20,30575.900000000005,100,236.5759,CAMP_GENZ_CHECKING
M009196,22,english,67226,online,13,3643.2000000000007,112,233.6432,CAMP_GENZ_CHECKING
M004940,23,english,67206,online,8,26948.399999999998,100,230.9484,CAMP_GENZ_CHECKING
M009827,20,english,80111,branch,5,0.0,112,226.5,CAMP_GENZ_CHECKING
M002842,22,english,67208,online,2,25218.500000000015,99,224.2185,CAMP_GENZ_CHECKING
M002551,21,english,80121,online,2,22823.039999999994,98,219.82304,CAMP_GENZ_CHECKING
M007445,19,english,80231,branch,5,505.27999999999986,108,219.00528,CAMP_GENZ_CHECKING
M004806,21,english,80120,branch,3,19551.7,96,213.0517,CAMP_GENZ_CHECKING
M009997,18,other,80112,online,6,17934.770000000004,96,212.93477000000001,CAMP_GENZ_CHECKING
M008307,23,spanish,80224,event,14,24802.68,91,212.80268,CAMP_GENZ_CHECKING
M006164,22,english,67204,online,8,27093.960000000006,87,205.09396,CAMP_GENZ_CHECKING
M003950,25,spanish,80216,online,19,21812.499999999985,88,203.8125,CAMP_GENZ_CHECKING
M005055,25,english,80227,online,6,67996.2,66,202.9962,CAMP_GENZ_CHECKING
M004812,18,english,80231,branch,18,19080.879999999997,88,201.08088,CAMP_GENZ_CHECKING
M007728,21,english,67208,branch,5,26390.14,86,200.89014,CAMP_GENZ_CHECKING
M009980,19,english,80218,online,3,17475.059999999998,90,198.97505999999998,CAMP_GENZ_CHECKING
M005819,25,english,80204,online,3,0.0,98,197.5,CAMP_GENZ_CHECKING
M007291,18,english,67206,branch,9,10344.900000000001,88,190.8449,CAMP_GENZ_CHECKING
M000978,18,english,80123,online,8,17487.3,84,189.4873,CAMP_GENZ_CHECKING
M004527,23,english,67204,referral,13,26685.0,78,188.685,CAMP_GENZ_CHECKING
M000401,21,english,80121,branch,8,458.91,92,188.45891,CAMP_GENZ_CHECKING
M005418,18,english,80206,online,14,8605.6,86,186.6056,CAMP_GENZ_CHECKING
M007629,21,spanish,80231,online,15,6828.78,86,184.82878,CAMP_GENZ_CHECKING
M006234,18,english,67214,branch,10,23152.15,78,184.15215,CAMP_GENZ_CHECKING
M000970,23,english,67206,online,12,20297.55,78,182.29755,CAMP_GENZ_CHECKING
M002233,18,english,67204,online,3,54456.82000000001,62,179.95682,CAMP_GENZ_CHECKING
M007726,23,spanish,80014,branch,12,45537.70000000002,64,179.53770000000003,CAMP_GENZ_CHECKING
M005902,18,english,80222,branch,14,20839.32,76,178.83932,CAMP_GENZ_CHECKING
M006911,18,english,80015,online,14,4266.990000000001,84,178.26699,CAMP_GENZ_CHECKING
M006077,25,english,80123,online,18,9519.44,80,175.51944,CAMP_GENZ_CHECKING
M002820,18,english,80111,branch,18,37187.020000000004,66,175.18702000000002,CAMP_GENZ_CHECKING
M000348,23,english,80222,online,2,4910.239999999999,84,173.91024,CAMP_GENZ_CHECKING
M005643,18,english,80017,referral,6,0.0,84,171.0,CAMP_GENZ_CHECKING
M006810,24,english,80220,branch,12,16936.049999999996,74,170.93605,CAMP_GENZ_CHECKING
M004221,18,english,80203,referral,5,11402.79,78,169.90279,CAMP_GENZ_CHECKING
M008322,24,english,67212,online,10,17918.550000000003,73,168.91855,CAMP_GENZ_CHECKING
M001211,25,english,80022,referral,19,30048.6,66,168.0486,CAMP_GENZ_CHECKING
M006388,23,spanish,80209,branch,16,0.0,81,168.0,CAMP_GENZ_CHECKING
M007760,24,english,80226,online,14,5453.16,78,167.45316,CAMP_GENZ_CHECKING
M007477,18,spanish,80030,branch,9,0.0,81,166.5,CAMP_GENZ_CHECKING
M003238,25,english,80227,online,12,8188.3,76,166.1883,CAMP_GENZ_CHECKING
M000816,22,spanish,67211,branch,1,20133.089999999997,72,164.63308999999998,CAMP_GENZ_CHECKING
M003025,18,english,80218,online,6,36655.78000000001,61,161.65578000000002,CAMP_GENZ_CHECKING
M005884,22,other,80218,branch,15,23101.920000000002,66,161.10192,CAMP_GENZ_CHECKING
M007612,18,english,80223,branch,19,17775.8,68,159.7758,CAMP_GENZ_CHECKING
M006543,19,spanish,80222,online,5,1234.88,78,159.73488,CAMP_GENZ_CHECKING
M007093,22,spanish,80012,online,16,36451.800000000025,58,158.45180000000002,CAMP_GENZ_CHECKING
M007553,22,english,80010,online,16,1059.57,74,155.05957,CAMP_GENZ_CHECKING
M003153,18,english,80212,branch,7,26950.59000000001,62,154.45059,CAMP_GENZ_CHECKING
M007250,22,english,80206,online,4,12323.039999999999,70,154.32304,CAMP_GENZ_CHECKING
M002378,24,english,80211,online,2,18603.359999999997,66,151.60336,CAMP_GENZ_CHECKING
M003107,24,english,80121,online,11,23177.94000000001,61,150.67794,CAMP_GENZ_CHECKING
M001866,20,spanish,67208,branch,13,7618.4000000000015,68,149.6184,CAMP_GENZ_CHECKING
M008583,21,spanish,80224,branch,13,11321.040000000003,66,149.32104,CAMP_GENZ_CHECKING
M002359,19,english,80012,referral,9,12262.079999999993,66,148.76208,CAMP_GENZ_CHECKING
M005254,22,english,67214,referral,3,59973.119999999995,43,147.47312,CAMP_GENZ_CHECKING
M000636,20,english,80224,online,18,0.0,70,146.0,CAMP_GENZ_CHECKING
M000147,25,other,80206,online,13,0.0,70,146.0,CAMP_GENZ_CHECKING
M004078,18,spanish,80209,online,6,13996.079999999998,64,144.99608,CAMP_GENZ_CHECKING
M005908,18,spanish,80122,online,16,38426.2,50,144.4262,CAMP_GENZ_CHECKING
M003391,21,english,80205,branch,16,0.0,68,142.0,CAMP_GENZ_CHECKING
M002985,20,english,80203,online,15,10320.18,62,140.32018,CAMP_GENZ_CHECKING
M003337,24,english,67203,branch,7,4712.32,66,140.21232,CAMP_GENZ_CHECKING
M009475,18,english,67214,event,4,35884.939999999995,51,139.88494,CAMP_GENZ_CHECKING
M000527,20,english,67226,referral,17,5648.88,64,139.64888,CAMP_GENZ_CHECKING
M005195,18,english,80231,referral,19,9304.38,60,135.30438,CAMP_GENZ_CHECKING
M003944,18,spanish,67219,branch,3,9580.3,62,135.0803,CAMP_GENZ_CHECKING
M001037,25,english,80112,online,4,17049.90000000001,58,135.0499,CAMP_GENZ_CHECKING
M002885,18,english,80010,online,2,27383.400000000005,52,132.3834,CAMP_GENZ_CHECKING
M001577,21,english,80015,event,9,19532.659999999993,54,132.03266,CAMP_GENZ_CHECKING
M009939,25,spanish,80231,branch,15,0.0,63,132.0,CAMP_GENZ_CHECKING
M005826,20,english,80231,online,11,18320.489999999994,54,131.82049,CAMP_GENZ_CHECKING
M002678,21,english,67206,online,8,12866.400000000001,57,130.8664,CAMP_GENZ_CHECKING
M004980,18,english,80203,branch,14,22328.519999999986,51,130.32851999999997,CAMP_GENZ_CHECKING
M003844,24,english,67212,online,7,46451.8,40,129.9518,CAMP_GENZ_CHECKING
M000709,18,english,80206,online,3,16400.879999999997,56,129.90088,CAMP_GENZ_CHECKING
M006432,18,english,67218,branch,18,18884.689999999995,52,128.88468999999998,CAMP_GENZ_CHECKING
M002194,24,english,80030,branch,7,15135.539999999997,55,128.63554,CAMP_GENZ_CHECKING
M005539,25,english,80112,online,6,3658.2000000000007,60,126.6582,CAMP_GENZ_CHECKING
M008374,18,spanish,80015,online,2,0.0,62,125.0,CAMP_GENZ_CHECKING
M004351,18,english,80224,referral,17,10787.629999999996,54,124.78763,CAMP_GENZ_CHECKING
M009046,22,english,80112,branch,18,6786.719999999999,56,124.78672,CAMP_GENZ_CHECKING
M004803,23,english,67218,online,3,9706.9,56,123.2069,CAMP_GENZ_CHECKING
M005259,20,english,80203,online,10,14525.170000000002,51,121.52517,CAMP_GENZ_CHECKING
M009485,22,english,80211,event,1,706.98,60,121.20698,CAMP_GENZ_CHECKING
M004348,21,english,67207,branch,14,18717.559999999998,48,120.71755999999999,CAMP_GENZ_CHECKING
M001356,18,spanish,80022,online,14,10206.019999999999,52,120.20602,CAMP_GENZ_CHECKING
M007672,18,spanish,80120,online,18,2192.28,56,120.19228,CAMP_GENZ_CHECKING
M008390,25,spanish,80122,event,20,785.76,56,118.78576,CAMP_GENZ_CHECKING
M009377,18,english,80121,referral,10,5720.849999999999,54,118.72085,CAMP_GENZ_CHECKING
M008484,24,english,80010,branch,14,0.0,56,118.0,CAMP_GENZ_CHECKING
M009429,18,english,80207,event,21,0.0,56,118.0,CAMP_GENZ_CHECKING
M006413,18,english,80010,online,3,28237.860000000008,44,117.73786000000001,CAMP_GENZ_CHECKING
M007566,19,english,67206,referral,7,22151.250000000004,46,117.65125,CAMP_GENZ_CHECKING
M000439,20,english,80226,online,13,15076.380000000005,48,117.07638,CAMP_GENZ_CHECKING
M003879,22,english,67202,referral,4,10634.550000000001,52,116.63455,CAMP_GENZ_CHECKING
M006391,18,english,80017,online,20,34311.33,38,116.31133,CAMP_GENZ_CHECKING
M004543,18,other,67203,branch,3,14752.300000000007,50,116.2523,CAMP_GENZ_CHECKING
M001791,18,spanish,67212,branch,8,15882.000000000002,48,115.882,CAMP_GENZ_CHECKING
M006926,24,english,67206,online,21,13859.399999999996,48,115.8594,CAMP_GENZ_CHECKING
M000576,18,spanish,67203,online,1,36562.91999999999,39,115.06291999999999,CAMP_GENZ_CHECKING
M003195,22,spanish,80022,referral,20,0.0,54,114.0,CAMP_GENZ_CHECKING
M002086,25,english,80207,branch,11,14292.63,47,113.79263,CAMP_GENZ_CHECKING
M007148,18,spanish,80014,online,2,10961.509999999998,50,111.96151,CAMP_GENZ_CHECKING
M002882,18,english,67203,referral,6,6921.390000000001,51,111.92139,CAMP_GENZ_CHECKING
M007073,24,english,80010,online,17,19690.24,43,111.69024,CAMP_GENZ_CHECKING
M000500,23,english,80112,branch,12,23627.780000000006,41,111.62778,CAMP_GENZ_CHECKING
M002824,23,english,80012,online,21,5076.9,50,111.0769,CAMP_GENZ_CHECKING
M006613,25,spanish,80010,branch,18,6568.87,49,110.56887,CAMP_GENZ_CHECKING
M009785,21,spanish,67227,online,7,17032.72,45,110.53272,CAMP_GENZ_CHECKING
M000567,18,english,67219,online,5,0.0,54,110.5,CAMP_GENZ_CHECKING
M005815,18,english,80216,online,1,13627.120000000003,48,110.12712,CAMP_GENZ_CHECKING
M001102,18,english,80224,online,20,32077.240000000016,36,110.07724000000002,CAMP_GENZ_CHECKING
M007200,22,english,80218,online,10,10713.15,47,109.71315,CAMP_GENZ_CHECKING
M009625,25,spanish,80206,branch,9,7194.479999999998,49,109.69448,CAMP_GENZ_CHECKING
M004275,18,spanish,80110,branch,17,11492.999999999998,46,109.493,CAMP_GENZ_CHECKING
M001540,18,english,80220,online,1,834.3300000000002,54,109.33433,CAMP_GENZ_CHECKING
M009441,19,english,80030,online,2,34304.219999999994,37,109.30421999999999,CAMP_GENZ_CHECKING
M007561,22,spanish,80203,referral,8,17205.600000000006,44,109.2056,CAMP_GENZ_CHECKING
M009073,21,english,67203,branch,14,47187.270000000026,28,109.18727000000003,CAMP_GENZ_CHECKING
M000639,25,english,80211,online,6,21627.3,42,108.62729999999999,CAMP_GENZ_CHECKING
M009550,18,english,80231,online,8,16174.019999999997,44,108.17402,CAMP_GENZ_CHECKING
M002698,24,english,80220,online,12,10037.5,46,108.0375,CAMP_GENZ_CHECKING
M000263,18,english,80110,branch,18,0.0,51,108.0,CAMP_GENZ_CHECKING
M006353,24,english,80010,online,6,12974.960000000003,46,107.97496000000001,CAMP_GENZ_CHECKING
M005856,18,spanish,80016,online,15,9907.349999999999,46,107.90735,CAMP_GENZ_CHECKING
M001563,18,english,80226,online,13,5532.64,48,107.53264,CAMP_GENZ_CHECKING
M008218,18,english,67204,referral,21,35305.16000000001,33,107.30516000000001,CAMP_GENZ_CHECKING
M006400,23,spanish,67214,online,21,22756.050000000007,39,106.75605,CAMP_GENZ_CHECKING
M006368,18,english,80022,branch,7,32243.9,35,105.7439,CAMP_GENZ_CHECKING
M002005,18,english,80110,online,6,0.0,51,105.0,CAMP_GENZ_CHECKING
M005287,25,english,80216,branch,20,40174.899999999994,29,104.1749,CAMP_GENZ_CHECKING
M001804,22,spanish,80111,online,8,0.0,50,104.0,CAMP_GENZ_CHECKING
M005855,23,english,67211,event,14,0.0,49,104.0,CAMP_GENZ_CHECKING
M004799,18,english,80227,online,21,11828.199999999997,43,103.8282,CAMP_GENZ_CHECKING
M005388,22,english,67211,referral,7,0.0,50,103.5,CAMP_GENZ_CHECKING
M007810,18,spanish,67214,referral,13,7141.4400000000005,45,103.14144,CAMP_GENZ_CHECKING
M005366,22,english,80212,online,3,9462.56,46,102.96256,CAMP_GENZ_CHECKING
M008321,18,english,80209,branch,19,12667.949999999997,42,102.66794999999999,CAMP_GENZ_CHECKING
M006621,18,english,67202,branch,2,25234.799999999977,38,102.23479999999998,CAMP_GENZ_CHECKING
M000430,19,spanish,80226,event,12,38057.16,29,102.05716000000001,CAMP_GENZ_CHECKING
M007530,18,english,80211,branch,2,21017.279999999995,40,102.01728,CAMP_GENZ_CHECKING
M003724,19,spanish,80209,online,3,6423.199999999999,47,101.9232,CAMP_GENZ_CHECKING
M007126,18,spanish,80231,referral,15,13696.760000000002,41,101.69676,CAMP_GENZ_CHECKING
M000569,18,spanish,80015,online,12,7391.36,44,101.39136,CAMP_GENZ_CHECKING
M009682,23,spanish,80224,branch,11,11712.470000000003,42,101.21247,CAMP_GENZ_CHECKING
M006313,25,english,67204,branch,20,6937.120000000001,44,100.93712000000001,CAMP_GENZ_CHECKING
M002420,24,spanish,67212,online,5,4238.3,47,100.7383,CAMP_GENZ_CHECKING
M005941,24,english,67213,referral,16,4385.85,45,100.38585,CAMP_GENZ_CHECKING
M008101,18,english,67202,online,13,2090.97,46,100.09097,CAMP_GENZ_CHECKING
M006657,25,spanish,80015,online,1,17364.480000000003,41,99.86448,CAMP_GENZ_CHECKING
M005720,18,english,80212,branch,10,12855.059999999994,41,99.85506,CAMP_GENZ_CHECKING
M004101,22,english,80202,branch,9,16564.16,39,99.06416,CAMP_GENZ_CHECKING
M001612,21,spanish,80231,referral,2,0.0,49,99.0,CAMP_GENZ_CHECKING
M005277,22,other,80216,referral,20,8504.82,42,98.50482,CAMP_GENZ_CHECKING
M007895,18,english,67208,branch,9,13057.589999999997,40,97.55759,CAMP_GENZ_CHECKING
M002892,18,english,80216,online,6,17242.0,38,96.242,CAMP_GENZ_CHECKING
M009731,25,english,80231,branch,11,20723.31,35,96.22331,CAMP_GENZ_CHECKING
M008919,19,english,80110,online,8,3928.7200000000003,44,95.92872,CAMP_GENZ_CHECKING
M003013,25,spanish,80012,branch,10,2587.76,44,95.58776,CAMP_GENZ_CHECKING
M008609,18,english,80207,online,8,10617.569999999998,40,94.61757,CAMP_GENZ_CHECKING
M005949,20,english,80022,branch,7,2847.39,44,94.34739,CAMP_GENZ_CHECKING
M008680,21,english,80015,branch,14,0.0,44,94.0,CAMP_GENZ_CHECKING
M006638,24,english,67219,branch,1,17446.2,38,93.9462,CAMP_GENZ_CHECKING
M003001,18,english,67219,online,6,6850.879999999999,42,93.85088,CAMP_GENZ_CHECKING
M001536,21,spanish,80212,online,19,3041.6,42,93.0416,CAMP_GENZ_CHECKING
M007899,24,english,80207,online,13,8185.799999999999,39,92.1858,CAMP_GENZ_CHECKING
M000698,25,english,80224,online,8,33694.049999999996,27,91.69405,CAMP_GENZ_CHECKING
M006631,21,english,80207,referral,17,8955.700000000003,38,90.95570000000001,CAMP_GENZ_CHECKING
M004739,24,english,80224,online,19,919.6600000000003,42,90.91966,CAMP_GENZ_CHECKING
M004757,22,english,80231,online,1,6166.02,42,90.66602,CAMP_GENZ_CHECKING
M000992,18,english,80205,online,4,8652.779999999999,40,90.65277999999999,CAMP_GENZ_CHECKING
M008860,18,english,67212,branch,16,16633.47,34,90.63347,CAMP_GENZ_CHECKING
M005807,18,english,80211,online,4,12444.190000000002,38,90.44419,CAMP_GENZ_CHECKING
M004638,25,spanish,67203,branch,21,0.0,42,90.0,CAMP_GENZ_CHECKING
M008038,23,english,80231,online,15,10942.36,36,88.94236000000001,CAMP_GENZ_CHECKING
M007164,24,spanish,80123,online,4,22458.699999999997,32,88.4587,CAMP_GENZ_CHECKING
M007800,18,english,80216,online,15,15223.099999999997,33,87.2231,CAMP_GENZ_CHECKING
M009355,18,english,80012,online,4,26880.480000000007,29,86.88048,CAMP_GENZ_CHECKING
M002666,24,spanish,80015,online,9,2370.9300000000003,40,86.87093,CAMP_GENZ_CHECKING
M004458,24,other,80231,online,2,0.0,42,85.0,CAMP_GENZ_CHECKING
M007249,18,spanish,80206,branch,10,13633.799999999997,33,84.6338,CAMP_GENZ_CHECKING
M003292,18,spanish,80202,online,18,20430.27,29,84.43027000000001,CAMP_GENZ_CHECKING
M004976,24,spanish,80209,online,13,0.0,39,84.0,CAMP_GENZ_CHECKING
M003198,18,spanish,67211,online,19,21910.399999999998,28,83.9104,CAMP_GENZ_CHECKING
M008112,18,english,67207,online,10,14263.989999999994,32,83.26398999999999,CAMP_GENZ_CHECKING
M005894,22,english,80204,online,12,31114.300000000003,23,83.1143,CAMP_GENZ_CHECKING
M004612,18,english,67218,branch,3,996.1,40,82.4961,CAMP_GENZ_CHECKING
M001346,22,english,67218,online,3,24839.700000000004,28,82.33970000000001,CAMP_GENZ_CHECKING
M000979,21,english,80010,event,20,0.0,38,82.0,CAMP_GENZ_CHECKING
M005395,23,english,80204,online,3,0.0,40,81.5,CAMP_GENZ_CHECKING
M003363,18,english,80224,online,15,3083.85,36,81.08385,CAMP_GENZ_CHECKING
M008113,19,spanish,80014,branch,10,0.0,38,81.0,CAMP_GENZ_CHECKING
M001077,21,english,80110,online,9,24398.9,26,80.8989,CAMP_GENZ_CHECKING
M005485,18,spanish,80207,online,16,22890.789999999994,26,80.89079,CAMP_GENZ_CHECKING
M002168,25,english,80112,branch,2,11401.389999999996,34,80.40138999999999,CAMP_GENZ_CHECKING
M009994,22,english,67214,online,19,8372.000000000002,33,80.372,CAMP_GENZ_CHECKING
M007086,18,english,80120,online,1,7809.660000000001,36,80.30966000000001,CAMP_GENZ_CHECKING
M005918,18,english,80022,referral,14,3953.81,35,79.95381,CAMP_GENZ_CHECKING
M004293,22,english,80022,online,11,0.0,37,79.5,CAMP_GENZ_CHECKING
M006443,23,english,80222,branch,10,74344.59000000003,0,79.34459000000003,CAMP_GENZ_CHECKING
M000237,18,english,67214,branch,6,0.0,38,79.0,CAMP_GENZ_CHECKING
M000194,25,english,80227,online,17,806.4000000000001,36,78.8064,CAMP_GENZ_CHECKING
M006382,23,other,67204,referral,17,2490.5,35,78.4905,CAMP_GENZ_CHECKING
M006900,22,english,67204,online,11,10942.05,31,78.44205,CAMP_GENZ_CHECKING
M006595,18,english,80033,online,15,0.0,36,78.0,CAMP_GENZ_CHECKING
M001592,18,english,67208,online,8,23717.679999999986,25,77.71767999999999,CAMP_GENZ_CHECKING
M007506,18,english,80212,branch,11,0.0,36,77.5,CAMP_GENZ_CHECKING
M006183,19,spanish,80205,referral,3,0.0,38,77.5,CAMP_GENZ_CHECKING
M005726,25,english,67227,online,18,3077.3,34,77.0773,CAMP_GENZ_CHECKING
M002897,18,english,67207,event,5,18375.61,28,76.87561,CAMP_GENZ_CHECKING
M001622,23,english,80123,branch,9,3878.8399999999997,34,76.37884,CAMP_GENZ_CHECKING
M007425,18,spanish,67207,online,21,4309.08,33,76.30908,CAMP_GENZ_CHECKING
M001751,18,spanish,80212,online,5,3709.0800000000004,35,76.20908,CAMP_GENZ_CHECKING
M001397,24,english,80012,online,13,5938.169999999998,32,75.93817,CAMP_GENZ_CHECKING
M004702,23,english,80030,online,6,20789.300000000003,26,75.7893,CAMP_GENZ_CHECKING
M000704,23,spanish,80012,referral,8,19695.960000000006,26,75.69596000000001,CAMP_GENZ_CHECKING
M003666,25,spanish,80227,online,2,14692.5,30,75.6925,CAMP_GENZ_CHECKING
M003396,23,spanish,67218,online,2,0.0,37,75.0,CAMP_GENZ_CHECKING
M008469,25,english,80218,branch,3,2878.11,35,74.37811,CAMP_GENZ_CHECKING
M008878,25,spanish,80204,online,19,0.0,34,74.0,CAMP_GENZ_CHECKING
M002354,24,english,67212,online,13,19379.00000000001,24,73.37900000000002,CAMP_GENZ_CHECKING
M001290,18,spanish,80033,online,12,9097.62,29,73.09762,CAMP_GENZ_CHECKING
M001164,20,english,80014,online,7,25503.390000000007,22,73.00339000000001,CAMP_GENZ_CHECKING
M000741,18,english,80223,online,9,34191.44999999999,17,72.69144999999999,CAMP_GENZ_CHECKING
M004851,18,english,67204,online,14,12580.749999999996,27,72.58075,CAMP_GENZ_CHECKING
M005135,21,english,67211,online,1,0.0,36,72.5,CAMP_GENZ_CHECKING
M007943,23,english,80211,online,8,0.0,34,72.0,CAMP_GENZ_CHECKING
M004864,24,spanish,80016,online,7,0.0,34,71.5,CAMP_GENZ_CHECKING
M007597,21,spanish,80112,online,6,0.0,34,71.0,CAMP_GENZ_CHECKING
M009789,21,spanish,80016,online,13,4472.199999999999,30,70.4722,CAMP_GENZ_CHECKING
M003924,21,english,80111,online,21,6348.42,29,70.34842,CAMP_GENZ_CHECKING
M006980,18,spanish,67202,referral,19,4222.26,30,70.22226,CAMP_GENZ_CHECKING
M006475,18,other,80010,referral,14,11483.519999999997,26,69.48352,CAMP_GENZ_CHECKING
M007416,19,english,80012,online,1,12974.5,28,69.4745,CAMP_GENZ_CHECKING
M005789,19,english,80017,online,21,9111.42,27,69.11142000000001,CAMP_GENZ_CHECKING
M004835,18,english,80209,online,11,13591.269999999999,25,69.09127000000001,CAMP_GENZ_CHECKING
M004618,18,spanish,80205,online,7,13557.669999999998,26,69.05767,CAMP_GENZ_CHECKING
M006163,25,spanish,80017,branch,17,12933.25,25,68.93325,CAMP_GENZ_CHECKING
M002542,25,english,80206,branch,2,3555.25,32,68.55525,CAMP_GENZ_CHECKING
M009225,22,english,80218,branch,8,12361.25,26,68.36125,CAMP_GENZ_CHECKING
M000397,19,english,80022,online,11,4547.27,29,68.04727,CAMP_GENZ_CHECKING
M003850,23,english,80014,online,15,7755.569999999998,27,67.75557,CAMP_GENZ_CHECKING
M001736,21,english,80231,referral,1,9189.539999999997,29,67.68954,CAMP_GENZ_CHECKING
M009761,23,spanish,67208,referral,4,35666.96,15,67.66696,CAMP_GENZ_CHECKING
M006433,22,english,80218,referral,14,19546.24,21,67.54624,CAMP_GENZ_CHECKING
M007529,22,spanish,80212,branch,6,8117.52,28,67.11752,CAMP_GENZ_CHECKING
M005516,22,english,67213,online,6,0.0,32,67.0,CAMP_GENZ_CHECKING
M004636,18,english,80212,online,6,0.0,32,67.0,CAMP_GENZ_CHECKING
M003908,23,spanish,80226,branch,21,20729.04000000001,20,66.72904000000001,CAMP_GENZ_CHECKING
M000933,23,english,67206,online,20,10329.759999999997,25,66.32976,CAMP_GENZ_CHECKING
M002396,23,english,67202,branch,12,10184.400000000001,25,66.18440000000001,CAMP_GENZ_CHECKING
M008386,23,english,80223,online,20,0.0,30,66.0,CAMP_GENZ_CHECKING
M002596,18,english,80120,referral,15,13540.720000000005,23,65.54072000000001,CAMP_GENZ_CHECKING
M009250,20,english,67227,branch,2,12058.200000000003,26,65.0582,CAMP_GENZ_CHECKING
M006887,22,english,67218,online,3,23531.550000000007,20,65.03155000000001,CAMP_GENZ_CHECKING
M006599,19,english,67204,branch,15,0.0,29,64.0,CAMP_GENZ_CHECKING
M009496,25,spanish,80226,referral,14,0.0,29,64.0,CAMP_GENZ_CHECKING
M008703,23,english,80219,online,5,13458.27,24,63.95827,CAMP_GENZ_CHECKING
M002235,25,english,80224,online,3,9745.920000000002,26,63.24592,CAMP_GENZ_CHECKING
M007141,18,english,80211,online,6,11660.95,24,62.66095,CAMP_GENZ_CHECKING
M003857,23,english,80122,online,4,0.0,30,62.0,CAMP_GENZ_CHECKING
M003046,18,english,80033,online,21,0.0,28,62.0,CAMP_GENZ_CHECKING
M006358,21,english,67202,branch,13,0.0,28,62.0,CAMP_GENZ_CHECKING
