member_id,age_band,channel_signup,last_txn_dt
M007482,35_44,branch,2025-06-30
M005884,under_25,branch,2025-08-10
M006816,35_44,branch,2025-06-15
M000382,25_34,online,2025-05-26
M005889,under_25,referral,2025-06-28
M005425,35_44,branch,2025-08-11
M007925,35_44,online,2025-08-03
M009461,45_54,online,2025-07-12
M008931,35_44,branch,2025-05-15
M007257,35_44,branch,2025-07-04
M007417,45_54,online,2025-07-26
M005443,25_34,branch,2025-08-05
M005203,35_44,online,2025-08-24
M007110,35_44,online,2025-08-23
M000667,35_44,branch,2025-04-17
M008820,35_44,online,2025-08-10
M006758,45_54,online,2025-07-29
M003965,25_34,event,2025-08-21
M008100,35_44,event,2025-08-11
M008356,45_54,online,2025-08-21
M004093,35_44,online,2025-07-29
M003726,45_54,online,2025-07-27
M001964,45_54,branch,2025-07-18
M006882,35_44,online,2025-08-24
M008831,35_44,online,2025-07-22
M001679,45_54,online,2025-07-27
M003030,35_44,online,2025-08-21
M007403,35_44,online,2025-08-02
M009735,55_64,online,2025-07-13
M004262,35_44,referral,2025-06-15
M009702,45_54,online,2025-06-28
M003445,45_54,referral,2025-06-28
M004169,45_54,referral,2025-07-22
M003491,35_44,online,2025-07-27
M000320,35_44,branch,2025-03-26
M005512,45_54,referral,2025-02-12
M002183,35_44,referral,2025-07-22
M001281,35_44,event,2025-08-18
M009361,55_64,online,2025-07-17
M004796,25_34,online,2025-07-25
M008771,35_44,online,2025-07-14
M001703,45_54,branch,2025-07-02
M000220,35_44,branch,2025-06-11
M007727,25_34,branch,2025-08-17
M002720,35_44,event,2025-07-01
M008740,under_25,branch,2025-07-16
M008395,25_34,online,2025-06-16
M008607,under_25,referral,2025-05-03
M003993,under_25,event,2025-03-24
M006024,35_44,online,2025-08-09
M009082,55_64,branch,2025-07-01
M001805,under_25,branch,2025-08-19
M007687,25_34,online,2025-06-23
M008477,35_44,referral,2025-07-19
M007296,35_44,referral,2025-08-04
M006873,under_25,branch,2025-06-02
M004327,25_34,online,2025-06-06
M003168,35_44,referral,2025-08-21
M000909,45_54,online,2025-06-22
M003904,25_34,branch,2025-06-13
M007597,under_25,online,2025-07-10
M009417,55_64,online,2025-04-12
M009116,45_54,referral,2025-06-12
M002755,35_44,branch,2025-07-26
M004986,55_64,online,2025-07-25
M009971,25_34,referral,2025-07-29
M003534,25_34,branch,2025-08-08
M005617,35_44,branch,2025-08-22
M002772,25_34,online,2025-07-06
M009752,35_44,online,2025-08-20
M003266,55_64,branch,2025-08-23
M000534,25_34,branch,2025-08-03
M007007,55_64,online,2025-06-12
M006325,25_34,online,2025-07-26
M008634,45_54,branch,2025-06-12
M009220,35_44,branch,2025-08-13
M009610,45_54,online,2025-01-26
M008582,25_34,online,2025-08-05
M000863,55_64,online,2025-08-15
M008550,35_44,online,2025-07-23
M002121,65_plus,referral,2025-05-10
M000948,25_34,online,2025-08-14
M006256,under_25,branch,2025-07-31
M003432,55_64,branch,2025-08-07
M004115,55_64,branch,2025-06-27
M002587,under_25,branch,2025-08-13
M005797,65_plus,online,2025-05-04
M009428,25_34,online,2025-06-20
M001918,25_34,branch,2025-04-29
M001867,45_54,branch,2024-07-20
M005138,45_54,online,2025-04-05
M005676,35_44,online,2025-07-05
M001180,25_34,online,2025-05-16
M004136,35_44,branch,2025-08-18
M008369,55_64,online,2025-07-20
M006255,35_44,branch,2025-08-11
M008895,25_34,online,2025-08-17
M006850,25_34,branch,2025-08-22
M007375,45_54,online,2025-08-10
M001064,under_25,online,2025-08-15
M006846,45_54,online,2025-07-09
M007746,25_34,online,2025-07-31
M005940,65_plus,event,2025-08-12
M003161,25_34,online,2025-08-11
M001006,45_54,online,2025-08-18
M005330,under_25,online,2025-08-08
M006899,35_44,online,2025-07-14
M002039,35_44,event,2025-04-09
M006303,45_54,online,2025-07-17
M008019,65_plus,branch,2025-07-23
M009310,45_54,online,2025-08-18
M004086,35_44,online,2025-08-24
M000516,45_54,online,2025-07-08
M007802,25_34,branch,2025-07-06
M001003,35_44,online,2025-08-07
M008432,35_44,online,2025-08-20
M005591,25_34,online,2025-07-09
M009760,25_34,online,2025-06-24
M006233,35_44,branch,2025-08-18
M006428,55_64,branch,2025-08-14
M003487,55_64,branch,2025-02-04
M006970,45_54,online,2025-06-23
M000934,under_25,branch,2025-01-02
M008105,25_34,branch,2025-07-03
M001268,25_34,online,2025-07-07
M005180,35_44,online,2025-05-08
M002216,35_44,online,2025-08-24
M003004,55_64,online,2025-08-02
M005143,45_54,online,2025-06-08
M001636,35_44,online,2025-08-19
M005262,25_34,branch,2025-05-29
M003907,55_64,online,2025-07-30
M002064,35_44,online,2025-05-26
M006803,under_25,online,2025-07-01
M003169,35_44,event,2025-08-11
M003838,45_54,online,2025-08-17
M003637,35_44,online,2025-07-09
M000250,45_54,online,2025-08-23
M002267,under_25,branch,2025-08-18
M009396,45_54,online,2025-08-14
M002445,25_34,online,2025-08-16
M004226,45_54,online,2025-07-16
M007830,25_34,online,2025-02-27
M000662,25_34,online,2025-08-11
M001889,25_34,online,2025-08-19
M009860,65_plus,online,2025-08-24
M007049,25_34,branch,2025-08-08
M005918,under_25,referral,2025-08-21
M007353,25_34,online,2025-08-23
M004802,35_44,online,2025-07-23
M007253,45_54,online,2025-06-28
M000694,45_54,branch,2025-07-07
M007738,45_54,referral,2025-08-11
M000271,55_64,online,2025-08-14
M000181,45_54,online,2025-08-24
M004643,35_44,branch,2025-07-03
M006362,45_54,branch,2025-06-12
M009241,45_54,online,2025-03-24
M001629,35_44,branch,2025-07-18
M000102,35_44,online,2025-05-21
M002190,45_54,online,2025-08-15
M008621,25_34,online,2025-08-18
M009384,25_34,online,2025-07-04
M008568,45_54,referral,2025-06-04
M000612,35_44,event,2025-08-17
M002495,25_34,branch,2025-08-05
M005792,under_25,online,2025-08-14
M003044,35_44,branch,2025-08-14
M001333,35_44,online,2025-08-14
M004266,45_54,online,2025-08-23
M008940,35_44,online,2025-06-23
M000488,25_34,branch,2025-08-24
M000794,25_34,branch,2025-05-04
M007511,55_64,online,2025-08-22
M009957,45_54,online,2025-08-16
M006167,45_54,branch,2025-07-31
M006534,55_64,online,2025-07-07
M003575,25_34,branch,2025-06-14
M003766,35_44,referral,2025-05-22
M002058,45_54,online,2025-08-22
M007022,under_25,online,2025-06-08
M007625,65_plus,online,2025-02-14
M000521,under_25,branch,2025-08-21
M000722,under_25,online,2025-08-11
M005995,45_54,referral,2025-08-22
M001372,55_64,online,2025-08-05
M002890,45_54,online,2025-07-02
M008923,25_34,branch,2025-07-28
M005955,45_54,online,2025-08-16
M003649,45_54,branch,2025-08-24
M004172,35_44,online,2025-08-21
M008513,35_44,branch,2025-08-04
M006494,45_54,online,2025-07-27
M007805,35_44,branch,2025-08-06
M008337,25_34,branch,2025-08-17
M009439,45_54,online,2025-08-05
M005358,25_34,online,2025-07-16
M008117,25_34,referral,2025-08-24
M002923,35_44,online,2025-06-26
M008508,25_34,online,2025-06-28
M007620,45_54,branch,2025-08-06
M009125,45_54,online,2025-04-27
M001966,35_44,online,2025-08-10
M008646,under_25,online,2025-08-24
M000205,under_25,branch,2025-07-24
M002984,35_44,online,2025-08-13
M001834,35_44,online,2025-08-07
M001018,25_34,online,2025-07-06
M004921,55_64,online,2025-08-16
M002633,35_44,event,2025-08-03
M000029,25_34,online,2025-08-19
M006051,55_64,branch,2025-07-03
M009636,under_25,online,2025-08-09
M004469,35_44,online,2025-08-02
M005200,45_54,branch,2025-07-13
M000684,45_54,branch,2025-08-06
M003270,45_54,online,2025-08-23
M004629,45_54,online,2025-08-07
M002724,55_64,online,2025-06-26
M000061,25_34,online,2025-07-13
M004215,35_44,branch,2025-08-24
M009849,25_34,online,2025-07-02
M002812,25_34,online,2025-03-17
M005755,35_44,referral,2025-03-22
M005347,35_44,online,2025-08-02
M007196,35_44,referral,2025-08-12
M004680,35_44,online,2025-07-13
M003703,25_34,online,2025-07-21
M002792,25_34,referral,2025-08-05
M009090,25_34,online,2025-08-15
M006043,65_plus,branch,2025-08-16
M008449,25_34,event,2025-05-21
M003208,45_54,referral,2025-07-15
M004411,25_34,event,2024-10-25
M005222,35_44,branch,2025-05-20
M003210,45_54,branch,2025-07-14
M008327,35_44,referral,2025-08-09
M008377,under_25,online,2025-07-30
M009275,25_34,online,2025-02-25
M000962,55_64,online,2025-07-13
M004310,25_34,branch,2025-08-08
M002427,45_54,online,2025-07-08
M008098,45_54,online,2025-08-14
M002805,35_44,referral,2025-07-03
M008047,25_34,online,2025-07-30
M000245,25_34,online,2025-05-11
M004429,35_44,online,2025-08-12
M008941,55_64,online,2025-08-21
M001191,35_44,branch,2025-08-05
M006491,35_44,online,2025-08-21
M007617,35_44,online,2025-07-13
M000501,45_54,branch,2025-08-24
M004168,35_44,online,2025-05-10
M001461,35_44,online,2025-08-06
M008951,35_44,branch,2025-08-24
M000855,55_64,branch,2025-08-11
M008628,45_54,branch,2025-06-16
M002315,45_54,referral,2025-08-09
M007636,35_44,branch,2025-08-20
M004817,55_64,online,2025-08-08
M005398,45_54,online,2025-06-08
M007058,35_44,online,2025-07-22
M007310,25_34,event,2025-08-05
M004384,35_44,branch,2025-08-23
M002345,under_25,branch,2025-08-22
M002858,35_44,online,2025-03-14
M005736,35_44,referral,2025-07-23
M004729,55_64,online,2025-08-13
M005261,55_64,online,2025-08-08
M006574,25_34,online,2025-08-17
M001529,25_34,online,2025-05-17
M007586,25_34,branch,2025-06-13
M002763,45_54,online,2025-06-08
M004173,25_34,branch,2025-08-13
M000878,35_44,online,2025-05-21
M001633,25_34,online,2025-07-19
M008512,45_54,branch,2025-08-23
M006625,25_34,online,2025-04-15
M002667,45_54,online,2025-08-15
M000727,35_44,branch,2025-08-10
M009137,35_44,online,2025-08-20
M001259,25_34,online,2025-07-10
M001254,35_44,online,2025-08-19
M002458,35_44,branch,2025-08-23
M001981,25_34,online,2025-07-31
M005504,under_25,online,2025-07-10
M009207,45_54,online,2025-08-24
M001975,35_44,online,2025-08-18
M006159,35_44,online,2025-05-01
M008525,under_25,referral,2025-08-14
M000682,25_34,online,2025-08-11
M009873,35_44,branch,2025-08-08
M006728,35_44,online,2025-08-12
M009694,35_44,online,2025-08-16
M003877,45_54,referral,2025-04-20
M009039,45_54,online,2025-08-20
M006463,35_44,branch,2025-07-14
M005125,45_54,online,2025-08-23
M001067,under_25,online,2025-07-02
M002796,25_34,online,2025-08-01
M004061,45_54,online,2025-07-23
M008665,35_44,online,2025-08-09
M008109,45_54,online,2025-08-01
M004847,under_25,online,2025-08-06
M000302,25_34,branch,2025-06-04
M004202,25_34,online,2025-08-12
M004120,25_34,online,2025-06-30
M000213,45_54,referral,2025-08-23
M008116,35_44,online,2025-08-09
M009267,35_44,online,2025-08-09
M006919,55_64,branch,2025-08-11
M002762,25_34,online,2025-06-23
M009102,45_54,branch,2025-05-21
M004955,35_44,referral,2025-06-03
M000707,25_34,online,2025-08-11
M009723,35_44,online,2025-06-03
M006037,45_54,online,2025-07-22
M008841,25_34,referral,2025-07-26
M009955,35_44,online,2025-08-16
M002899,35_44,online,2025-07-17
M002819,45_54,online,2025-08-05
M001035,25_34,referral,2025-07-28
M008364,35_44,online,2025-07-25
M007810,under_25,referral,2025-07-31
M005635,25_34,online,2025-07-20
M001375,55_64,online,2025-07-26
M001597,45_54,online,2025-08-10
M009657,45_54,branch,2025-08-19
M004218,25_34,online,2025-08-24
M000760,45_54,branch,2025-07-20
M000744,35_44,online,2025-07-27
M002019,45_54,online,2025-05-03
M005557,35_44,online,2025-08-14
M002323,45_54,online,2025-06-29
M006501,55_64,online,2025-07-20
M005065,45_54,online,2025-07-04
M000597,35_44,online,2025-06-25
M006853,35_44,online,2025-07-02
M008985,35_44,online,2025-07-18
M007300,45_54,referral,2025-08-16
M004862,25_34,online,2025-08-04
M008567,55_64,online,2025-08-21
M000147,25_34,online,2025-07-26
M009698,45_54,online,2025-06-22
M001533,35_44,branch,2025-07-30
M001185,25_34,branch,2025-07-28
M000448,25_34,referral,2025-03-27
M009681,35_44,online,2025-08-18
M002143,35_44,online,2025-08-02
M006629,25_34,online,2025-06-30
M002738,35_44,referral,2025-08-03
M003229,45_54,event,2024-10-17
M009952,35_44,online,2025-08-22
M004321,35_44,online,2025-05-21
M006181,45_54,event,2025-08-16
M001803,25_34,online,2025-08-04
M006985,25_34,online,2025-03-08
M005220,25_34,branch,2025-07-18
M009927,25_34,online,2025-07-02
M006675,45_54,online,2025-08-18
M008633,55_64,online,2025-06-29
M002683,35_44,online,2025-08-20
M006378,35_44,branch,2025-06-12
M005006,25_34,online,2025-08-11
M002513,45_54,online,2025-08-18
M003309,55_64,referral,2025-08-19
M002089,35_44,branch,2025-05-26
M006489,45_54,online,2025-08-11
M007383,35_44,branch,2025-07-22
M003825,25_34,online,2025-07-28
M000158,45_54,online,2025-06-02
M003657,35_44,branch,2025-01-19
M009607,under_25,online,2025-08-22
M008815,35_44,online,2025-08-21
M003560,under_25,online,2025-08-07
M002054,35_44,online,2025-07-27
M001421,45_54,event,2025-06-24
M004855,45_54,branch,2025-08-21
M006662,25_34,online,2025-08-15
M000445,under_25,branch,2025-08-07
M007005,45_54,online,2025-08-03
M006430,25_34,online,2025-08-04
M008622,45_54,referral,2025-07-21
M002060,35_44,online,2025-08-19
M008050,35_44,branch,2025-08-20
M004759,25_34,branch,2025-08-01
M007707,55_64,referral,2025-08-11
M009716,35_44,online,2025-07-27
M004155,45_54,online,2025-08-19
M008714,35_44,online,2025-07-12
M009763,35_44,branch,2025-07-17
M000502,55_64,online,2025-06-13
M009547,45_54,online,2025-08-22
M009758,25_34,online,2025-08-18
M000673,35_44,branch,2025-08-16
M001410,35_44,branch,2025-07-25
M001856,25_34,online,2025-07-19
M007458,45_54,online,2025-06-30
M008604,45_54,referral,2025-08-20
M001038,under_25,branch,2025-07-06
M003057,25_34,online,2025-02-13
M008350,55_64,online,2025-08-22
M001132,45_54,referral,2025-07-12
M009844,25_34,branch,2025-04-01
M005740,35_44,online,2025-07-22
M001466,45_54,branch,2025-08-10
M001931,25_34,online,2025-08-21
M001793,35_44,online,2025-08-19
M003756,under_25,referral,2025-08-02
M004718,45_54,branch,2025-07-03
M007975,35_44,online,2025-06-12
M007229,35_44,branch,2025-08-04
M007046,25_34,online,2025-07-09
M009497,55_64,branch,2025-08-02
M004340,35_44,branch,2025-08-16
M002441,55_64,branch,2025-07-22
M003564,45_54,referral,2025-05-07
M000479,65_plus,branch,2025-07-22
M005510,35_44,online,2025-08-14
M006498,45_54,online,2025-07-24
M005552,45_54,branch,2025-08-22
M006893,25_34,online,2025-04-05
M006944,45_54,online,2025-08-19
M005805,45_54,online,2025-06-16
M004649,under_25,online,2025-07-08
M003858,45_54,online,2025-08-08
M006568,35_44,online,2025-06-29
M003851,25_34,online,2025-08-04
M005258,25_34,online,2025-08-08
M001115,35_44,online,2025-08-21
M000075,under_25,referral,2025-07-29
M007643,35_44,branch,2025-08-09
M009150,45_54,branch,2025-08-21
M009249,55_64,online,2025-08-02
M000229,25_34,online,2025-06-27
M007322,35_44,branch,2025-08-17
M007886,45_54,event,2025-08-21
M006218,25_34,branch,2025-08-13
M003330,45_54,online,2025-08-05
M006154,25_34,online,2025-07-08
M002754,35_44,online,2025-08-05
M007809,55_64,online,2024-12-29
M000269,35_44,online,2025-07-20
M004603,55_64,online,2025-06-28
M007146,45_54,referral,2025-06-24
M004538,35_44,online,2025-08-11
M009064,25_34,online,2025-08-24
M003962,55_64,online,2025-06-29
M007286,25_34,online,2025-07-27
M000886,55_64,online,2025-08-10
M006260,35_44,branch,2025-07-15
M005855,under_25,event,2025-07-27
M006318,25_34,online,2025-08-18
M005793,35_44,event,2025-07-20
M001758,45_54,online,2025-06-07
M008188,45_54,online,2025-07-08
M001929,45_54,online,2025-08-01
M002734,25_34,online,2025-07-30
M000771,45_54,event,2025-08-04
M005283,45_54,online,2025-06-04
M009854,25_34,online,2025-07-26
M004968,45_54,event,2025-07-24
M006422,25_34,online,2025-08-14
M003611,35_44,online,2025-07-20
M009354,35_44,online,2025-07-28
M009245,35_44,online,2025-08-22
M006704,under_25,branch,2025-08-22
M007865,25_34,online,2025-08-23
M003755,25_34,referral,2025-08-06
M001616,65_plus,online,2025-07-26
M006332,under_25,online,2025-08-06
M003818,35_44,online,2025-07-30
M000525,25_34,online,2025-07-11
M005751,35_44,online,2025-06-20
M006936,45_54,branch,2025-08-18
M000022,35_44,online,2025-08-09
M006949,35_44,online,2025-08-23
M009750,45_54,branch,2025-04-11
M008632,35_44,branch,2025-08-10
M005854,25_34,online,2025-06-23
M001459,55_64,online,2025-07-16
M005571,35_44,branch,2025-07-17
M004641,45_54,online,2025-08-05
M000749,25_34,branch,2025-08-13
M001527,55_64,online,2025-05-06
M009954,25_34,branch,2025-07-31
M001062,under_25,online,2025-08-18
M003822,35_44,online,2025-08-01
M009587,45_54,online,2025-07-14
M001677,55_64,branch,2025-07-13
M002522,65_plus,referral,2025-07-30
M008828,35_44,branch,2025-06-18
M002524,35_44,online,2025-06-11
M004571,25_34,online,2025-06-28
M006563,35_44,online,2025-04-02
M007306,under_25,online,2025-07-04
M000957,35_44,referral,2025-07-05
M004613,55_64,online,2025-08-12
M006497,45_54,online,2025-07-12
M006943,55_64,event,2025-04-13
M005891,35_44,online,2025-06-24
M002752,55_64,online,2025-06-12
M000296,25_34,online,2025-08-19
M005226,25_34,branch,2025-06-28
M008213,25_34,referral,2025-06-22
M002374,45_54,online,2025-08-06
M004032,under_25,online,2025-08-18
M006406,55_64,online,2025-05-19
M005784,65_plus,branch,2025-07-27
M000757,45_54,online,2025-08-23
M000526,under_25,referral,2025-08-10
M001550,55_64,branch,2025-07-05
M009935,35_44,online,2025-04-23
M004989,35_44,online,2025-08-20
M009058,35_44,online,2025-06-02
M000608,25_34,referral,2025-08-11
M004744,45_54,online,2025-07-08
M001181,35_44,online,2025-08-05
M005413,25_34,branch,2025-06-16
M007402,45_54,branch,2025-06-17
M006285,25_34,online,2025-08-19
M000655,65_plus,branch,2025-08-05
M003263,25_34,online,2025-08-21
M000049,35_44,referral,2025-08-04
M009261,under_25,online,2025-08-06
M000638,35_44,branch,2025-08-13
M002169,35_44,event,2025-08-21
M003452,25_34,referral,2025-08-21
M000781,35_44,online,2025-07-31
M000383,under_25,online,2025-07-21
M006487,35_44,online,2025-08-15
M008537,45_54,online,2025-07-12
M003994,45_54,online,2025-05-23
M001602,55_64,branch,2025-08-12
M001175,25_34,online,2025-05-10
M006033,45_54,online,2025-03-29
M009032,35_44,online,2025-08-12
M007792,25_34,referral,2025-08-17
M001606,25_34,online,2025-06-27
M005733,45_54,event,2025-08-08
M007206,35_44,online,2025-08-21
M004791,35_44,online,2025-07-24
M007633,45_54,online,2025-08-11
M001321,35_44,branch,2025-08-16
M006763,35_44,online,2025-07-10
M009826,under_25,online,2025-08-22
M002776,35_44,branch,2025-07-19
M009020,45_54,branch,2025-08-07
M008868,25_34,online,2025-08-16
M006642,55_64,referral,2025-08-06
M002921,25_34,online,2025-06-21
M004650,35_44,online,2025-04-28
M000470,25_34,online,2025-07-27
M003021,45_54,online,2025-08-20
M009633,35_44,online,2025-08-15
M004832,25_34,referral,2025-06-08
M001962,35_44,event,2025-07-03
M005632,45_54,online,2025-08-21
M006686,35_44,referral,2025-08-21
M005572,25_34,online,2025-07-16
M004555,35_44,branch,2025-07-14
M000995,25_34,online,2025-07-27
M006170,45_54,online,2025-07-03
M000585,35_44,online,2025-03-02
M003408,35_44,branch,2025-08-15
M009149,25_34,online,2025-08-12
M009945,35_44,branch,2025-07-29
M002962,25_34,event,2025-07-17
M001632,25_34,online,2025-08-05
M007421,35_44,online,2025-06-12
M005145,45_54,online,2025-02-12
M007807,45_54,referral,2025-07-15
M000354,35_44,branch,2025-06-27
M008041,35_44,online,2025-07-14
M000414,55_64,online,2025-08-12
M004152,45_54,online,2025-07-16
M007312,25_34,online,2025-08-06
M009281,45_54,online,2025-08-02
M007162,35_44,online,2025-08-14
M008810,45_54,online,2025-08-13
M000755,25_34,online,2025-06-09
M001114,45_54,referral,2025-08-13
M000979,under_25,event,2025-06-28
M002332,35_44,online,2025-07-19
M009052,25_34,branch,2025-08-06
M003835,25_34,branch,2025-07-15
M008414,35_44,online,2025-06-07
M003843,45_54,online,2025-08-11
M004322,35_44,online,2025-05-30
M005901,35_44,online,2025-07-24
M004242,45_54,branch,2025-07-08
M009577,under_25,online,2025-04-20
M001507,45_54,online,2025-04-30
M002314,45_54,event,2025-08-24
M001177,under_25,branch,2025-07-23
M005938,under_25,online,2025-08-21
M006192,25_34,online,2025-08-04
M004775,under_25,online,2025-07-23
M000270,35_44,branch,2025-05-26
M001780,25_34,branch,2025-08-24
M003737,35_44,branch,2025-07-30
M001542,55_64,branch,2025-08-06
M007454,45_54,online,2025-06-04
M009035,35_44,online,2025-06-27
M002597,25_34,online,2025-07-23
M008816,35_44,online,2025-08-05
M003913,45_54,branch,2025-07-17
M006013,35_44,referral,2025-08-09
M001192,under_25,online,2025-07-19
M007883,55_64,branch,2025-05-19
M005527,45_54,referral,2025-06-27
M009983,45_54,online,2025-07-18
M002623,35_44,online,2025-07-18
M008510,45_54,branch,2025-07-21
M004886,25_34,online,2025-08-12
M009427,25_34,online,2025-08-18
M000758,35_44,online,2025-08-15
M004604,55_64,online,2025-08-13
M006711,45_54,online,2025-08-09
M001112,35_44,branch,2025-06-18
M001292,65_plus,online,2025-05-07
M003426,45_54,online,2025-07-28
M007012,35_44,online,2025-07-22
M004382,35_44,online,2024-06-03
M009894,35_44,online,2025-08-12
M002857,25_34,branch,2025-05-05
M007613,25_34,online,2025-08-15
M008708,45_54,branch,2025-07-17
M000575,45_54,online,2025-04-04
M000752,under_25,branch,2025-05-26
M008517,25_34,referral,2025-08-22
M003228,55_64,online,2025-07-25
M004241,under_25,online,2025-05-31
M006062,45_54,online,2025-08-14
M007392,35_44,online,2025-07-12
M002703,55_64,online,2025-08-05
M008482,35_44,online,2025-03-16
